stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,9,1,0,2,3,3,0,0,0,0,1,1,0,1,0,0,0,3,0,0
 24-34,0,0,96.86,0,0,0.82,0,3.28,0.82,0,0.82,0,0,0,0.82,0,0,5.75,0,30.37,1.64,0,19.7,8.21,9.03,1.64,0,0,4.93,0,0,0,1.64,5.75,0,0,9.85,0,0
 36-46,0,0,58.81,0,0,0,0,6.45,0.81,0.81,0,0,0.81,0,0,0,0.81,1.61,0,34.64,0,0,22.56,3.22,11.28,0.81,1.61,0,8.06,0.81,0,0,0,1.61,0,0,3.22,0,0.81
 48-58,0,0,37.87,0,0,2.87,0,5.16,2.3,0,0,1.15,0.57,0.57,0,0,0.57,0,0,42.46,1.15,1.15,17.79,5.74,8.03,1.15,3.44,0,2.87,0,0,0,0,1.72,0,0,5.74,0,4.59
 60-70,0,0,37.3,0,0,0.98,0,3.93,0,1.96,0,0,0,0.98,0,0,0.98,0,1.96,79.5,0.98,0.98,7.85,2.94,3.93,0,3.93,0,6.87,0,0,0,0,0.98,0,0,5.89,0.98,4.91
 72-82,0,0,34.36,0.98,0,8.83,0,3.93,8.83,30.43,0,0,0.98,1.96,0,0,2.94,0,0,163.94,0,1.96,18.65,7.85,9.82,0,5.89,0.98,3.93,0,0,0,0,3.93,0,0.98,10.8,0.98,8.83
 84-94,0,0,111.51,5.31,0,7.43,0,9.56,6.37,19.12,5.31,1.06,0,0,1.06,1.06,5.31,0,1.06,111.51,0,1.06,13.81,4.25,16.99,2.12,6.37,0,13.81,0,0,0,0,3.19,0,1.06,10.62,3.19,6.37
 96-106,0,0,62.29,2.19,1.09,10.93,1.09,10.93,7.65,24.04,1.09,0,0,1.09,1.09,0,12.02,3.28,0,169.39,1.09,3.28,8.74,15.3,12.02,2.19,17.49,0,5.46,0,0,0,0,5.46,1.09,4.37,21.86,3.28,4.37
108-118,0,0,77.36,0,0,3.06,0,9.96,6.89,29.87,4.6,0,0.77,0.77,0,3.83,11.49,2.3,0.77,151.66,1.53,7.66,10.72,12.26,16.09,1.53,13.02,0.77,5.36,0,0,0.77,0,1.53,1.53,0,15.32,1.53,13.02
120,0,0,37.24,1.96,0,7.84,0,7.84,3.92,21.56,9.8,0,1.96,1.96,0,0,1.96,1.96,0,146.98,1.96,1.96,11.76,11.76,13.72,0,19.6,1.96,5.88,0,0,0,0,3.92,0,0,11.76,0,1.96
