stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,26.29,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,10.51,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,6.29,0,0,0,154.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.1,0,0,0,37.76,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,94,4,0,107,0,0,0,11,2,0,0,0,0,0,0,0,2,15,0,0,17,142,10,0,2,1,0,10,1,4,3,1,45,223,0,0,7,0,3
 24-34,0,0,0,36.94,0.82,0,27.09,0,7.39,5.75,9.03,0,2.46,0,0,0,0,0,2.46,1.64,21.34,0,0,8.21,187.98,2.46,0,4.93,0,0,9.85,0,0,0,0,1.64,162.53,0,0,38.58,0,8.21
 36-46,0,0,0,10.47,0,0,127.3,0,5.64,12.09,24.98,0,0.81,4.83,0,0,0.81,0,0,8.86,16.11,0,0,5.64,203.03,3.22,0,3.22,0,0,3.22,0,0,0,0,0,167.58,0,0,41.89,0,4.03
 48-58,0,0,0,13.2,0.57,0,378.71,0,11.48,8.61,27.54,0,0.57,2.87,0,0,0,0.57,0,6.31,22.38,0.57,0.57,1.72,130.25,0,0.57,2.87,0,0.57,1.15,0,0,0,0.57,0,88.37,0,0,32.13,0,2.3
 60-70,0,0,0,18.65,0,0,943.24,1.96,10.8,19.63,68.71,0,0,3.93,0,0.98,0,1.96,0,4.91,73.61,0,2.94,2.94,132.51,2.94,0,0.98,0,3.93,0.98,0,0,0.98,0,0,60.85,0,1.96,39.26,0.98,4.91
 72-82,0,0,0,27.49,0.98,0,929.63,0,12.76,17.67,126.63,1.96,0,0.98,0.98,1.96,1.96,0,0.98,9.82,89.33,0,1.96,3.93,169.83,0.98,0,5.89,0,4.91,2.94,0,0,0,0,0,39.27,0,2.94,68.72,6.87,6.87
 84-94,0,0,2.12,36.11,0,0,504.47,0,13.81,18.05,91.34,1.06,1.06,2.12,0,2.12,5.31,2.12,5.31,16.99,72.22,1.06,4.25,1.06,113.64,1.06,1.06,6.37,0,3.19,6.37,0,0,1.06,0,0,18.05,0,4.25,71.16,4.25,7.43
 96-106,0,0,0,43.71,3.28,1.09,410.91,0,15.3,9.84,83.06,0,0,10.93,0,2.19,2.19,3.28,2.19,9.84,71.04,1.09,4.37,0,106.01,3.28,0,2.19,0,8.74,8.74,0,0,0,0,0,16.39,0,2.19,75.41,1.09,7.65
108-118,0,0.77,0,45.96,0,1.53,312.51,0,23.74,10.72,79.66,5.36,0,1.53,3.06,2.3,0.77,0.77,11.49,16.09,58.98,0,0,4.6,97.28,0.77,3.83,1.53,0,3.83,3.83,0,0,1.53,0.77,0,8.43,0.77,3.06,62.04,0.77,8.43
120,0,0,0,47.03,1.96,0,221.46,0,13.72,13.72,86.23,0,0,3.92,1.96,1.96,0,1.96,9.8,7.84,64.67,1.96,0,7.84,115.63,1.96,0,3.92,0,1.96,1.96,0,0,0,0,0,17.64,0,0,39.2,1.96,5.88
