stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,2.63,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,3.15,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,91.26,6.29,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,8,18,0,25,0,0,0,2,5,0,0,0,0,0,0,0,5,0,0,0,81,0,1,7,0,0,0,0,1,1,4,71,0,0,0,0,0
 24-34,0,0,0,0,5.75,22.16,0,72.24,0,0,0,4.1,0,0,0.82,0,0,0,0.82,0,9.85,0,0.82,5.75,331.63,0,4.93,6.57,0,0.82,2.46,0,0,0,0.82,181.41,0,0,4.1,0,0
 36-46,0,0,0,0.81,2.42,16.11,0,66.87,3.22,0,0,13.7,1.61,0,0,0,0,1.61,2.42,0.81,8.06,0.81,0,4.83,482.6,0.81,0,6.45,0,0,4.83,0.81,0,2.42,0.81,212.7,0,0,8.06,0,0
 48-58,0,0,0,0,2.3,33.85,0,187.06,8.61,1.15,0,51.07,1.15,0,0,0.57,0,1.15,2.3,0,26.4,2.3,1.15,2.87,563.48,0,3.44,6.89,0,0.57,4.59,0,0,0,0,188.21,0,0,8.03,0,0
 60-70,0,0,0,0,1.96,41.22,0,465.24,9.82,0.98,0.98,99.13,0.98,0,0,3.93,0,0.98,3.93,0.98,46.13,1.96,0.98,1.96,684.12,0,2.94,9.82,0,0,6.87,0,0.98,0,0,159.99,0.98,1.96,3.93,0,0
 72-82,0,0,0,0,8.83,105.04,0,638.08,5.89,1.96,1.96,112.89,5.89,0,1.96,3.93,0,1.96,5.89,0,58.9,2.94,0,3.93,664.59,0,2.94,8.83,0,0.98,7.85,0,0,0,0,84.42,2.94,0.98,11.78,1.96,0.98
 84-94,0,0,2.12,0,13.81,83.9,0,541.64,2.12,0,0,79.65,13.81,0,1.06,1.06,0,3.19,8.5,0,39.3,1.06,3.19,6.37,387.64,0,1.06,13.81,0,0,25.49,0,0,0,0,38.23,3.19,0,5.31,2.12,0
 96-106,0,0,0,0,13.11,69.94,1.09,374.85,1.09,0,1.09,80.87,21.86,0,0,5.46,1.09,0,10.93,1.09,27.32,4.37,3.28,3.28,244.8,0,4.37,7.65,0,0,25.14,0,0,0,0,33.88,2.19,0,9.84,1.09,1.09
108-118,0,0,0,0,9.96,73.53,0,281.87,0,0,0,66.64,16.85,0,0,8.43,0,1.53,6.89,0.77,23.74,3.06,0,3.83,292.6,0.77,4.6,9.19,0,0,6.89,0,0.77,0,0,15.32,6.89,0.77,4.6,0,0
120,1.96,0,0,1.96,13.72,97.99,1.96,346.88,1.96,3.92,0,115.63,27.44,0,0,9.8,0,1.96,17.64,0,17.64,3.92,0,3.92,333.16,0,3.92,17.64,0,0,13.72,0,1.96,0,0,21.56,7.84,0,1.96,0,0
