stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0,0
 36-46,1.61,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,15.31,0,0,0,1.61
 48-58,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0.57,0.57,0,21.23,0,0.57,0,1.72
 60-70,0.98,0,0,2.94,0.98,0,0.98,0.98,0.98,0.98,0,0,0.98,0,1.96,0,0.98,22.58,0.98,0,1.96,0.98
 72-82,1.96,0.98,0.98,2.94,0,0,0.98,0,0,0,0,2.94,0,0,0.98,0,0,30.43,0,0,0,0.98
 84-94,0,0,1.06,1.06,0,0,0,0,0,0,0,2.12,0,0,2.12,0,0,12.74,0,0,0,0
 96-106,1.09,0,0,1.09,0,0,0,0,0,0,0,3.28,0,0,2.19,0,1.09,13.11,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0.77,0,0,0,0.77,1.53,0,0,0.77,0,0,19.92,0,0,0,0.77
120,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,27.44,0,0,0,0
