stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,1,0,0,0,0,0,0,0,3,0,0,0,58
 24-34,0,0,0.82,1.64,0,0,74.7,0,0,0,0,0,0,4.1,0,0,65.67,4.93,0.82,0,2.46,29.55,0.82,0,0,0,0,0.82,0,0,0,4.93,2.46,0,192.9
 36-46,0,0,0,0,0,0,49.95,0.81,0,0,2.42,0,0,5.64,0,0,76.54,1.61,0,0,0.81,15.31,0.81,0,0,0,0,1.61,0,0.81,0,3.22,0,0,172.41
 48-58,0,0,0,1.15,0,0,74.59,0,0,0.57,1.72,0,0,17.21,0,0,70,3.44,0,0,0,18.94,0,0,0.57,0,0.57,1.72,0,0,0,4.02,0,0,188.21
 60-70,0,0,0,0.98,0,0,97.17,0,0.98,0,5.89,1.96,0,44.17,0,0,39.26,5.89,0,0,0,14.72,0.98,0,0.98,0,0,0,0,0,0,0.98,1.96,0.98,160.97
 72-82,0,0,0,0,0.98,0,80.5,0,0,0,2.94,0,0,53.01,0.98,0,51.05,8.83,0,0,0.98,14.72,0,0.98,0,0,0,0,0,0,0,0.98,0,0,106.02
 84-94,0,0,0,2.12,0,0,169.93,1.06,0,3.19,3.19,1.06,0,87.09,0,0,84.96,4.25,0,1.06,0,8.5,0,0,1.06,0,0,4.25,0,0,0,2.12,1.06,0,83.9
 96-106,0,0,0,0,0,2.19,149.72,0,0,1.09,5.46,1.09,1.09,73.22,0,3.28,69.94,5.46,1.09,0,0,28.41,0,0,2.19,0,0,3.28,0,0,0,1.09,0,0,98.36
108-118,0,0,0,1.53,0,0.77,134.81,0,0,2.3,6.13,0,0,90.38,0,2.3,94.21,6.13,0,0,0,16.09,0.77,0,2.3,0,0.77,3.06,0,0,0,0.77,0,0,115.66
120,0,0,0,0,0,0,45.08,0,0,0,7.84,0,0,39.2,0,0,41.16,1.96,0,0,0,11.76,1.96,0,1.96,0,0,0,0,0,0,0,0,0,50.95
