stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,heart,liver,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,5.26,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,11,0
 24-34,0,0.82,0.82,0,0,0,4.93,0,0,3.28,0,0,0,0.82,0,0.82,0.82,0,0,78.8,0
 36-46,0,0.81,0,0,0,0,1.61,0,0,4.03,0,0,0,0,0,0,0,0,0,44.31,0
 48-58,0,0.57,0,0.57,0,0,6.89,0,0,1.15,0,0,0,0,0,0,1.15,0,0,41.89,0
 60-70,0,0,0,0,0,0,1.96,0,0,2.94,0,0.98,0,0,0,0,0,0,0,43.19,0
 72-82,0,0,0,0.98,0,0,8.83,0,2.94,2.94,0,0,0,0,0,0,0,0,0,113.87,1.96
 84-94,0,0,0,0,0,0,1.06,0,2.12,3.19,0,0,0,0,0,0,0,0,0,93.46,0
 96-106,0,0,1.09,2.19,1.09,0,12.02,0,3.28,4.37,0,1.09,0,0,0,0,0,0,0,115.84,0
108-118,0,0,0,0,0,0,6.13,0.77,0.77,4.6,0,0.77,0,0,0.77,0,0,0.77,1.53,78.13,0
120,0,0,1.96,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,88.19,0
