stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,6.57,0,0,0,0,0,1.64,0,0,0,0,0,0,2.46,0,2.46,91.94,0,2.46,0.82,0,0,1.64,0,0,0,18.06,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,4.83,0,0,0,4.83,0,2.42,0,0,0,0,0,0,5.64,0,0,242.51,0,4.03,0,0,0,0.81,0,0,0,25.78,0,0,0,0,0
 48-58,0,0,0,2.87,0,0,22.95,0,0,0,2.87,0,0.57,0,0,0,0.57,0,0,6.89,0.57,0.57,287.48,0.57,4.02,0,0,0,0,0,0.57,0,28.12,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,106.99,0,1.96,0,5.89,0,0,0,0,0,0,0,0,13.74,1.96,0.98,464.26,0.98,2.94,0,0,0,0.98,0,0,0,25.52,0,0,0,0,0
 72-82,0,0,0,6.87,0.98,0,413.28,0,0.98,1.96,19.63,0.98,1.96,1.96,0,0,0,0.98,0,18.65,2.94,0,513.41,0,4.91,0,0,0,0,0,0,0,27.49,0,3.93,0.98,4.91,1.96
 84-94,0,0,0,13.81,0,0,279.32,1.06,2.12,1.06,21.24,0,1.06,2.12,0,0,0,0,1.06,11.68,10.62,3.19,238.96,1.06,1.06,1.06,0,0,4.25,0,0,0,9.56,3.19,3.19,0,7.43,0
 96-106,0,0,0,7.65,2.19,0,313.65,3.28,2.19,0,22.95,0,0,1.09,0,1.09,0,1.09,1.09,12.02,10.93,1.09,263.38,1.09,1.09,1.09,0,1.09,4.37,1.09,0,0,5.46,3.28,8.74,4.37,12.02,0
108-118,0,0,0.77,11.49,0,1.53,219.83,6.13,0.77,0.77,16.85,0.77,0.77,0.77,0.77,0.77,0,0.77,0.77,11.49,3.83,0.77,252.77,1.53,3.83,1.53,0,0,2.3,0,0,0,3.06,3.83,3.83,0.77,8.43,0
120,0,0,1.96,5.88,0,0,221.46,1.96,0,0,17.64,1.96,1.96,1.96,0,0,0,0,1.96,9.8,9.8,1.96,225.38,1.96,1.96,0,0,0,0,1.96,0,0,3.92,1.96,1.96,5.88,7.84,0
