stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,30.65,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,10.51,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,94.63,10.51,0,0,65.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.35,12.59,0,0,56.65,0,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,1,0,3,0,0,1,5,0,0,0
 24-34,0,0,0.82,0,0.82,0,4.93,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,4.93,33.66,0,0,0,0,0.82,0,0,0,0,0.82,11.49,0,0.82,0
 36-46,0,0,0,0,0,0,11.28,0,0,1.61,0,0,0,0,0,0,0,0,8.86,0,0,0.81,41.09,0.81,2.42,0,0,0.81,0,0,0.81,0.81,0,5.64,0,1.61,0.81
 48-58,0,0,0,0,0,0,24.67,0,0,1.72,0,0,0.57,0,0,0,0,0,4.59,0,0,1.72,37.87,0,0.57,0.57,0,0.57,0,0,0,0,0,9.18,0,0,0
 60-70,0,0,0.98,0,1.96,0,18.65,0.98,0,2.94,0.98,0,0,0,0,0,0,0,9.82,0,0.98,3.93,32.39,0,0,0.98,0,0.98,0,0,0,0.98,0,1.96,0,0.98,0
 72-82,0,0,0,0,2.94,0,21.6,0,2.94,3.93,0,0,0,0,0.98,0,0,0,6.87,0,0.98,0.98,23.56,0,1.96,0.98,0,2.94,0,0,0,0,0,1.96,0.98,0.98,0
 84-94,0,0,0,0,0,1.06,7.43,0,0,0,2.12,0,0,0,0,1.06,1.06,1.06,5.31,1.06,0,3.19,13.81,0,0,1.06,0,1.06,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,0,0,6.56,0,0,2.19,0,0,1.09,3.28,0,0,0,0,4.37,0,0,1.09,12.02,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,1.53,0,4.6,0,0.77,2.3,0,0,0,0,0,0,0,0,1.53,0,0,0,13.02,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0,0,0,11.76,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
