stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,102.52,2.63,0,0,28.92,2.63,2.63,0,0,0,0,0,0
 10-12,0,12.59,12.59,0,3.15,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.41,3.15,0,0,91.26,0,0,3.15,25.18,3.15,0,0,0
 14-21,0,0,1,13,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,34,2,0,1,2,1,0,2,0,15,9,0,0
 24-34,0,0,0,1.64,1.64,0,13.13,0,0,0.82,0,0,0,0,0,0,0.82,0,0,11.49,0,0,1.64,53.36,0,1.64,0,0,1.64,0,0,0,1.64,8.21,0,0
 36-46,0,0,0,0.81,0.81,0,5.64,0,0,0,4.03,0,0,0,0,0,0,0,0,2.42,0,0,0,24.17,0,0,0,0,1.61,0,0,0,0,5.64,0,0
 48-58,0,0,0,0.57,0,0,10.9,0,0.57,0.57,6.89,0.57,0,0,0,0,0.57,0,0,10.33,0.57,0.57,0.57,16.64,0,0.57,0,0,0.57,0,0,0,0,2.3,0.57,0
 60-70,0,0,0,0,0,0,12.76,0,0,0.98,3.93,0.98,0,0,0.98,0.98,0,0,0,5.89,0,0.98,0.98,28.46,0,0,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0.98,0,5.89,0,0,1.96,9.82,0,0,0.98,0,0,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,3.19,0,0,8.5,1.06,1.06,0,2.12,1.06,0,2.12,0,0,0,0,0,4.25,0,1.06,0,7.43,0,0,3.19,0,2.12,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,2.19,0,0,0,0,3.28,0,0,0,0,0,0,0,1.09,0,0,1.09,3.28,0,1.09,1.09,0,2.19,0,0,0,0,1.09,2.19,0
108-118,0,0,0,1.53,0.77,0.77,1.53,0,0,0,0,1.53,0,0,0.77,0,0,0,0.77,6.89,0.77,0,0,8.43,0,0,0.77,0,3.83,0,0,0,0,0,0.77,1.53
120,0,0,0,0,1.96,1.96,1.96,0,1.96,0,0,3.92,0,3.92,0,0,0,0,0,5.88,0,0,1.96,7.84,0,0,0,0,0,0,0,0,0,0,0,0
