stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,11.49,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,8.86,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.02,0,0.57,0,0,0,0,0,0,0,0,0,0,1.15,0,0.57,2.3,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,130.54,0,0.98,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,5.89,2.94,0,742.14,0.98,0.98,0.98,5.89,0.98,0,0,0.98,0,0.98,0,1.96,28.47,0.98,0.98,51.05,0,0,0.98,0,0,4.91,0,0,7.85,0,0,0.98,0.98,1.96
 84-94,0,0,0,0,7.43,3.19,0,818.83,0,2.12,0,2.12,1.06,0,0,0,1.06,2.12,1.06,0,16.99,0,0,23.36,0,0,2.12,0,0,3.19,0,0,1.06,2.12,1.06,4.25,1.06,0
 96-106,0,0,0,0,15.3,3.28,0,772.64,1.09,1.09,3.28,8.74,0,0,0,1.09,0,1.09,0,4.37,18.58,1.09,3.28,39.34,0,1.09,0,0,0,10.93,0,2.19,3.28,1.09,1.09,1.09,1.09,0
108-118,0,0,0,0,6.89,3.83,0.77,594.39,0,0.77,1.53,6.13,0.77,0,0,2.3,0.77,0,0.77,2.3,18.38,0,0,48.26,0.77,0.77,0.77,0,0,10.72,0,0,1.53,0,0.77,3.83,2.3,0.77
120,0,0,1.96,0,13.72,3.92,0,736.88,0,5.88,1.96,7.84,1.96,1.96,0,3.92,5.88,0,1.96,0,21.56,0,7.84,39.2,0,1.96,0,0,1.96,15.68,1.96,0,0,0,0,1.96,1.96,0
