stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,65.89,1871.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0
  5-6,61.3,551.67,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,10.51,18.4,0,13.14,0,0,47.32,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,439,5.26,0,0,162.98,0,18.4,0,0,0,0,0,0,0
 10-12,0,15.73,0,18.88,0,3.15,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.31,6.29,0,0,125.88,3.15,9.44,0,25.18,0,0,0,0,0
 14-21,0,0,0,1,15,7,8,1,0,12,2,0,0,0,0,0,0,0,18,0,0,5,198,0,2,4,8,6,3,6,7,9,93,0,1,0
 24-34,0,0,1.64,0,2.46,3.28,53.36,0,0,9.03,0.82,0,1.64,0,0.82,0,0,0.82,38.58,0,0,18.88,384.98,0,3.28,3.28,0,4.1,0,0,4.93,2.46,80.44,0,4.93,1.64
 36-46,0,0,0,0,2.42,1.61,82.18,0,0,8.86,0,0,0,0,0,0,0.81,0,23.36,0,0,8.06,184.5,0.81,2.42,0.81,0,2.42,0,0,0.81,0,61.23,0,0.81,0.81
 48-58,0,0,0,0,0.57,1.15,66.56,0,1.15,7.46,0,0,0.57,0,0,1.15,0,0.57,28.69,0.57,1.15,4.02,74.02,0,1.72,0.57,0,0.57,0,0,0,0,15.49,0,2.3,0
 60-70,0.98,0,0,0,2.94,0,40.24,0,0,4.91,1.96,0,0,0.98,0,0,0,0.98,13.74,0,1.96,3.93,40.24,0,1.96,0.98,0,2.94,0,0,0,0,5.89,0,0,0
 72-82,0,0,0.98,0,6.87,0,14.72,0,0,9.82,0,0,0.98,1.96,0,0.98,0,0,18.65,0,0.98,5.89,33.38,0,4.91,0.98,0,1.96,0,0,0.98,0,2.94,0,1.96,0
 84-94,0,0,0,1.06,7.43,0,29.74,0,1.06,4.25,3.19,0,0,2.12,0,1.06,0,0,16.99,0,1.06,2.12,18.05,0,1.06,1.06,0,0,0,0,1.06,0,2.12,0,1.06,0
 96-106,0,0,2.19,0,2.19,1.09,18.58,0,0,4.37,1.09,0,0,2.19,1.09,0,0,0,14.21,0,0,4.37,19.67,0,5.46,3.28,0,0,0,0,0,0,3.28,0,4.37,0
108-118,0,0,0.77,0.77,2.3,1.53,16.09,0,0,7.66,2.3,0,0,1.53,0,1.53,0,0,9.19,0,0.77,3.06,29.87,0,0.77,1.53,0,0.77,0,0,0,0,1.53,1.53,3.06,0.77
120,0,0,0,0,3.92,1.96,7.84,0,0,5.88,0,0,0,0,1.96,0,0,0,13.72,0,0,3.92,27.44,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0
