stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,23.8,0.82,0,0,0,0,7.39,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0.81,77.34,0,0,0,0,0,11.28,0,0,0
 48-58,0,0,0,0,6.31,0,0,1.15,0,0,0,0,0,1.15,0,114.19,0,0,0,0,0,17.21,0,0,0
 60-70,0,0,0,0,48.09,0,0.98,0.98,0,0,0.98,0,0,0.98,0,184.53,0,0.98,0,0,0,21.59,0,0,0
 72-82,0,1.96,0.98,0,95.22,0,0.98,1.96,0,0,0,0,0,2.94,0,242.47,0,0,0,0,0,17.67,0,0.98,0.98
 84-94,0,1.06,0,0,42.48,0,0,2.12,0,1.06,0,0,0,4.25,0,94.52,0,0,1.06,0,0,10.62,0,1.06,0
 96-106,0,0,0,0,34.97,0,0,4.37,0,0,0,0,1.09,1.09,1.09,84.15,0,0,0,0,0,4.37,1.09,0,0
108-118,0,2.3,0,0.77,33.7,0.77,0,6.89,0,0,0.77,0,0,0.77,0,89.62,0,0,0,0,0,2.3,0,0,0.77
120,0,5.88,0,0,27.44,0,0,1.96,0,0,0,1.96,0,0,0,109.75,0,0,0,0,1.96,3.92,0,0,0
