stage,blastomeres,epidermis,eye,glial,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0
 36-46,0,0,0.81,0,0,0,3.22,0,2.42,1.61,0,3.22,0,0,0
 48-58,0,0,0,0,0,0,25.25,0,3.44,3.44,0,0,0,0,0
 60-70,0,0,5.89,1.96,0,0,33.37,0,1.96,2.94,0,0.98,1.96,0,0
 72-82,0,0,2.94,0,0,0,34.36,3.93,2.94,6.87,0,0.98,2.94,0,8.83
 84-94,0,0,1.06,0,0,0,26.55,0,2.12,4.25,0,0,0,0,7.43
 96-106,0,0,1.09,0,0,0,25.14,0,0,10.93,0,0,0,0,19.67
108-118,0,0,1.53,0,0,0.77,16.85,0,0.77,6.89,0.77,0,0.77,0,12.26
120,0,0,1.96,0,1.96,0,13.72,0,0,5.88,0,0,0,1.96,7.84
