stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,18,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3
 24-34,0,0,0,4.93,0,0,0,0,0,0,0,36.94,0,0,0,0.82,4.1,0,0.82,0,0,0,0,0,0.82,0,8.21
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,43.51,0,0,0.81,0,6.45,0,0,0,0,0,0,0,0,0,6.45
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,43.04,0,0,0.57,0,13.77,0,0,0,0,0,0,0,0.57,0,8.61
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,69.69,0,0,0,0,15.7,0,0,0,0,0,1.96,0,0.98,0,9.82
 72-82,0,0,0.98,3.93,0,0.98,0,0,0,0,0.98,129.58,0,0,0.98,0.98,21.6,0,0,0,0,0,0,0,0,0.98,18.65
 84-94,0,0,0,3.19,0,3.19,0,0,1.06,1.06,0,186.92,1.06,0,0,0,6.37,0,0,0,0,1.06,1.06,0,0,0,21.24
 96-106,0,0,2.19,5.46,0,4.37,0,0,0,0,1.09,259,1.09,1.09,3.28,0,8.74,0,0,0,0,0,0,0,0,0,33.88
108-118,0,0,3.83,1.53,0.77,0.77,0,0.77,0.77,1.53,0,216,0,0,2.3,0,13.79,0,0,0,0.77,0,1.53,0,1.53,0,27.57
120,0,0,1.96,5.88,0,0,0,0,0,0,0,180.3,0,1.96,1.96,0,7.84,0,0,0,0,0,1.96,0,0,0,21.56
