stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,liver,mucous,neural,olfactory,paraxial_mesoderm,periderm,taste
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,8.83,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,4.25,0,0,1.06,0,0,0,0,1.06,0,0,0,2.12
 96-106,0,0,28.41,1.09,0,3.28,0,2.19,0,0,0,1.09,0,0,0
108-118,0,0,25.28,0.77,0,3.06,0.77,2.3,0.77,0.77,0,0,0,0,1.53
120,0,0,29.4,0,1.96,1.96,0,0,0,0,3.92,0,0,3.92,0
