stage,blastomeres,exocrine.pancreas,eye,fin.epithelia,glial,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0.82,0,0,2.46,0.82,1.64,0,0,0.82,0
 36-46,0,0,0.81,0,0,0.81,0,2.42,0.81,0,1.61,0.81
 48-58,0,0,0.57,0,0,0.57,0,1.72,0.57,0,0,0
 60-70,0,0,0.98,0,0,1.96,0,2.94,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,1.06,3.19,0,2.12,1.06,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,3.28,0,5.46,0,0,0,0
108-118,0,0,0,0,1.53,0,0.77,2.3,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0
