stage,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,mesenchyme,neural,olfactory,pericytes,periderm,presomitic.mesoderm,spinal.cord
 14-21,0,0,0,0,0,1,0,0,1,0,0,0,2,1
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,5.64,0,0,0.81,0,0
 48-58,0,0,1.72,0.57,0,0,0,0.57,5.74,0,0,0.57,0,1.15
 60-70,0,0,0,0,0,0,0,0,7.85,0,0.98,0.98,0,0.98
 72-82,0.98,0,4.91,0,0,0,0.98,0,4.91,1.96,0,0,0,0
 84-94,1.06,0,2.12,0,0,0,0,1.06,3.19,0,0,0,0,0
 96-106,1.09,1.09,3.28,0,0,0,0,0,3.28,0,0,0,0,1.09
108-118,0,0,3.06,0.77,0,0,0,0,4.6,0.77,0,0,0,0
120,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
