stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,9,1,0,1,0,0,0,2,1,1,4,0,0,0,0,0,8,0,2,26,1,0,0,1,0,0,0,3,2,0,2,13,0,0,1,0,0
 24-34,0,0,0,0,4.93,0,0,3.28,0,0,0.82,5.75,0,0,14.78,0,0.82,0,0,0,4.93,0,3.28,38.58,0.82,0,0.82,0,0,3.28,0,0,0.82,0,1.64,14.78,0,0,4.93,0,0.82
 36-46,0,0,0,0,3.22,0,0,9.67,0,0,0,4.03,0,0,15.31,0,0,0,0,0.81,10.47,0,8.86,53.98,0.81,0.81,0.81,0,0,5.64,0.81,0,0,0,0,25.78,0,0,8.86,0,1.61
 48-58,0,0,0,0,2.3,0,0,14.35,0,1.15,0.57,8.61,0,0,32.71,0.57,0.57,0.57,0,2.87,23.53,0,5.16,63.69,0,0,0.57,0,0,2.3,0,0,0.57,0,0,23.53,0,0,6.31,0,0
 60-70,0,0,0,0,0.98,0,0,13.74,0.98,0,1.96,8.83,0.98,0.98,32.39,0,0.98,0.98,0,0.98,23.56,0.98,2.94,51.04,1.96,0,0.98,0,0,0.98,0,0,0.98,0.98,0,9.82,0,0,4.91,0,0
 72-82,0,0,0,0,4.91,0,0,49.08,0.98,0.98,0,35.34,1.96,2.94,66.75,0,3.93,0.98,0,3.93,82.46,1.96,4.91,90.31,0.98,3.93,1.96,0,0,2.94,0,0,1.96,0,0,12.76,0,1.96,9.82,0.98,0
 84-94,0,0,1.06,0,4.25,0,0,19.12,1.06,3.19,3.19,20.18,2.12,2.12,69.03,0,3.19,1.06,0,2.12,42.48,1.06,4.25,50.98,0,1.06,5.31,0,2.12,10.62,0,0,0,0,0,4.25,0,2.12,14.87,2.12,2.12
 96-106,0,0,1.09,0,5.46,1.09,0,18.58,2.19,1.09,4.37,25.14,2.19,1.09,106.01,1.09,2.19,1.09,0,3.28,40.44,0,5.46,27.32,0,2.19,2.19,0,2.19,10.93,0,0,0,0,0,2.19,2.19,0,12.02,1.09,1.09
108-118,0,0,1.53,0,7.66,0.77,0.77,13.79,0.77,0.77,1.53,16.09,1.53,0,70.47,0.77,6.13,0.77,0.77,3.06,29.11,0.77,3.83,51.32,0.77,0.77,6.13,0,0.77,9.96,0,0,1.53,0.77,0,2.3,0,0.77,6.13,0.77,0.77
120,0,0,0,1.96,21.56,1.96,0,7.84,0,0,1.96,19.6,1.96,0,96.03,0,1.96,1.96,0,0,25.48,1.96,5.88,52.91,0,0,9.8,0,0,19.6,0,0,1.96,0,0,1.96,0,0,5.88,1.96,0
