stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,1,2,0,0,0,0,0,1,0,0,0,0,13,0,0,0,1,0,3,0,0,5,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,2.46,0,0,1.64,22.98,0,0,0,0,0,0,0,0,6.57,0,0,0,0
 36-46,0,0,7.25,0,0,1.61,0,0,0,4.83,0,0,4.03,46.73,0,0,1.61,0,1.61,0,0,0,5.64,0,0,0,0.81
 48-58,0,0,11.48,0,0,2.3,0,0,0,2.3,0,0,1.72,33.28,0,0,0,0,0,0,0,0,10.9,0,0,0,0
 60-70,0.98,0,6.87,0,0,1.96,0,0,0,3.93,0,0,0,5.89,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0
 72-82,0,0,8.83,0.98,0.98,0,0,0,0,1.96,0,0,0,18.65,0,0,0.98,0,0,0,0,0,0.98,0,1.96,0.98,0.98
 84-94,0,0,6.37,0,0,0,0,0,0,2.12,0,0,0,7.43,0,1.06,0,0,3.19,0,0,0,1.06,1.06,1.06,0,0
 96-106,1.09,2.19,5.46,0,0,1.09,1.09,0,0,5.46,0,1.09,0,5.46,0,1.09,0,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0.77,0,1.53,0,0,3.06,0,0.77,0,4.6,0.77,0,1.53,8.43,0,0,0.77,0,1.53,0,0,0,0,0,2.3,0,0.77
120,1.96,0,3.92,0,0,0,1.96,0,0,1.96,0,0,0,9.8,1.96,0,0,0,0,0,0,0,0,0,0,0,0
