stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0,0,2.46,0,0,14.78,0,0,0.82,0,1.64,0,0
 36-46,0,0,0,0.81,4.03,0,0,0,0,0,0,0,1.61,0,0.81,23.36,0,0,0,0,4.83,1.61,0
 48-58,0,0,0,0.57,5.74,0,1.15,0,0,0,0,0,4.59,0,0,16.64,0.57,0,0,0,2.87,1.15,0.57
 60-70,0,0,0,0,10.8,0,0.98,0.98,0,0,0,0,2.94,1.96,0,17.67,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0,2.94,0,1.96,0,0,0,0,0.98,5.89,0,0,13.74,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,2.12,1.06,1.06,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,2.19,0,1.09,2.19,1.09,0,0,0,0,0,0
108-118,0,0,0,0,3.06,0,0.77,0,0.77,0,0.77,0,1.53,0,0,3.83,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,1.96,0,1.96,1.96,0,0,15.68,0,0,0,0,0,0,0
