stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,97.56,0,0,0,6.29,25.18,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,1,114,0,4,0,0,0,0,0,1,0,27,0,0,0,0,0,1,0,0,21,1,0,2,1,38,0,2,1,2,1,0,0,0,0,0
 24-34,0,0,0,0,46.79,0,7.39,1.64,0,2.46,0.82,0,0,0,29.55,0,4.1,0,0,6.57,8.21,0,2.46,79.62,0.82,3.28,0.82,0,72.24,0,0,0.82,2.46,9.03,0,0,4.93,0,0.82
 36-46,0,0,0,0,20.95,0.81,9.67,3.22,0,0,0,0,0,0,7.25,0,3.22,0,0,4.83,8.06,0,0,54.79,0,0.81,0,0,38.67,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,6.89,0,11.48,2.3,0,1.72,1.15,0,0,0,6.31,0.57,1.15,0,0.57,6.89,9.18,0.57,2.87,40.74,0,0.57,0,0,34.43,0,0,0,0,4.59,0,0,0,0,0
 60-70,0,0,0.98,0,12.76,0,17.67,6.87,0.98,5.89,0.98,0,0,0,0.98,0,0.98,0,0,38.28,4.91,0.98,7.85,40.24,0,0,0.98,0,50.06,0,0,0,0,8.83,0,0,0.98,0,0.98
 72-82,0,0,0,0,15.71,0.98,22.58,0.98,0.98,2.94,0.98,0,0.98,0,10.8,0,3.93,0,0,60.86,7.85,0.98,2.94,35.34,0,0.98,0.98,0,52.03,0,0,0,0,1.96,0,0,1.96,0,0
 84-94,0,0,0,0,42.48,0,11.68,10.62,0,3.19,0,0,1.06,0,16.99,1.06,7.43,0,0,54.16,5.31,0,3.19,21.24,0,1.06,2.12,0,129.57,0,0,2.12,0,0,1.06,2.12,0,0,0
 96-106,0,0,0,0,46.99,1.09,6.56,6.56,2.19,2.19,3.28,0,0,1.09,16.39,0,5.46,0,0,51.36,15.3,0,3.28,8.74,0,1.09,1.09,0,66.66,0,0,0,0,0,3.28,0,1.09,1.09,0
108-118,0,0,0,0,62.81,1.53,6.89,6.13,1.53,3.83,4.6,0,0,3.06,14.55,0,5.36,0.77,0,52.85,6.89,0,3.06,14.55,0,0,3.06,0,63.57,0,0,0,0,0,3.06,1.53,1.53,0.77,0
120,0,0,0,0,58.79,3.92,9.8,9.8,1.96,1.96,0,0,0,0,17.64,0,3.92,0,0,41.16,7.84,1.96,1.96,39.2,0,0,0,0,58.79,0,0,0,0,0,1.96,0,1.96,0,0
