stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,3.15,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,32,6,3,1,0,9,1,1,0,17,0,0,0,1,15,0,0,6,84,4,0,5,4,0,3,4,14,0,3,77,0,0,1,0,0
 24-34,0,0,0.82,0.82,18.06,1.64,7.39,0.82,0,11.49,0,0,1.64,59.1,0,0.82,3.28,0,27.09,0.82,0.82,14.78,99.32,3.28,3.28,6.57,0,0,4.1,0.82,25.45,0,0.82,55,0,0,1.64,0,0
 36-46,0,0,0,0,6.45,0,5.64,0.81,0.81,15.31,0,0,1.61,81.37,0.81,0,0.81,0,36.26,0.81,1.61,8.86,79.76,2.42,0.81,0.81,0,0,12.09,0.81,11.28,0,0.81,61.23,0,0,1.61,0,0
 48-58,0,0,0,0,4.59,0,18.94,2.3,3.44,30.99,0,1.15,0.57,71.15,0.57,0,1.72,0,56.81,1.15,0.57,9.75,35.58,1.15,3.44,1.72,0,0,4.02,0,4.02,0,0,48.2,0,0,1.72,0.57,1.15
 60-70,0,0,0,0,9.82,0,13.74,2.94,1.96,53.98,1.96,0,0,84.41,0,0,0,0,89.32,0,1.96,6.87,28.46,0,0.98,4.91,0,2.94,6.87,0,2.94,0,0,29.45,0,0,0.98,0,0
 72-82,0,0,0,0,12.76,0,12.76,0,4.91,61.84,3.93,0,0.98,95.22,0.98,0,2.94,0.98,128.6,0.98,6.87,9.82,34.36,0,9.82,6.87,0,0,0.98,0,0.98,0,0,12.76,0,2.94,4.91,3.93,0.98
 84-94,0,0,0,0,13.81,0,9.56,5.31,2.12,24.43,10.62,0,1.06,103.02,2.12,0,4.25,1.06,92.4,0,2.12,7.43,23.36,2.12,3.19,7.43,0,1.06,6.37,0,0,0,0,4.25,0,4.25,0,2.12,0
 96-106,0,0,1.09,0,27.32,1.09,13.11,5.46,1.09,30.6,2.19,0,0,79.78,0,0,1.09,1.09,78.68,0,1.09,2.19,20.76,0,10.93,12.02,0,0,1.09,0,4.37,0,0,7.65,0,3.28,3.28,4.37,0
108-118,0,0,1.53,0,13.02,0,12.26,3.83,0.77,25.28,3.83,0,0,81.96,3.83,1.53,2.3,0,46.72,0,0.77,2.3,13.79,0,9.96,9.96,0,2.3,0.77,0,2.3,0,0,1.53,1.53,1.53,0,1.53,0
120,0,0,0,0,9.8,0,1.96,3.92,1.96,7.84,9.8,0,0,127.39,1.96,0,0,0,37.24,0,0,3.92,21.56,1.96,5.88,3.92,0,0,0,0,0,1.96,0,0,1.96,1.96,1.96,1.96,0
