stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,27.91,0,0,0,0,15.6,0,0,0.82,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,79.76,0,0,0,0,36.26,0,0,0,0,0.81
 48-58,0,0,4.59,0,8.61,0,0,0,1.15,0,0,0,0,0,0.57,0,0,164.11,0,0,1.15,0,25.82,0,0,0.57,0,0.57
 60-70,0,0,5.89,0,22.58,0.98,0,0,2.94,0,0.98,0.98,0,0,0.98,0,0.98,318.01,1.96,0,0,0.98,24.54,0,0,0,0,0
 72-82,1.96,0.98,8.83,0,53.01,0,0,0,10.8,1.96,0,0.98,0,0,6.87,0,0.98,429.97,0.98,0,0,0,19.63,0,0,1.96,0,0
 84-94,0,1.06,11.68,0,35.05,0,0,0,12.74,1.06,1.06,4.25,0,0,1.06,0,0,218.78,2.12,0,0,0,19.12,0,0,0,0,0
 96-106,0,0,7.65,1.09,31.69,0,1.09,0,1.09,1.09,0,1.09,1.09,1.09,3.28,0,1.09,262.28,5.46,0,0,0,5.46,1.09,0,0,1.09,0
108-118,0,0,4.6,2.3,27.57,0.77,0.77,0.77,3.06,0.77,0,1.53,0,0,3.06,0,0,244.34,3.06,0,0,0.77,7.66,0,0.77,0,0,0
120,0,0,5.88,0,25.48,0,1.96,0,3.92,0,0,0,0,0,3.92,1.96,1.96,358.64,5.88,1.96,0,0,15.68,0,0,0,1.96,0
