stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,2.63,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.07,15.77,0,0,70.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,25.18,0,6.29,141.61,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,997.59,31.47,0,0,138.47,0,0,9.44,0,9.44,0,0,0,0,0,0
 14-21,0,0,8,184,14,118,0,8,0,21,1,0,0,0,2,0,0,0,1,15,0,0,15,1550,158,0,16,15,3,37,1,65,301,335,0,0,7,0,1
 24-34,0,0,4.1,83.73,0,110.82,0,58.28,0.82,23.8,0,0,4.1,0,0.82,0,6.57,0,0,20.52,0,0,5.75,1447.99,5.75,1.64,28.73,0,2.46,2.46,0,3.28,46.79,290.58,0,0,45.97,0,3.28
 36-46,0,0,0,23.36,0,53.17,0,37.06,0.81,99.1,0,0,6.45,0.81,0,0,4.83,0,0,12.89,0,0.81,9.67,1106.99,0.81,1.61,16.92,0.81,1.61,0,0.81,0,0,222.36,0,0,41.09,0,0.81
 48-58,0,0,0,16.07,0,60.82,0,27.54,1.15,145.75,0,0,3.44,0.57,0,0,4.59,0.57,0,9.75,0,0,1.72,418.88,1.15,0,12.62,0,1.72,0,0,0,0,140.58,0,0,38.44,0,1.15
 60-70,0,0,0,24.54,1.96,38.28,0.98,22.58,3.93,176.67,0,0,2.94,0,0.98,1.96,5.89,0,0,16.69,0,0,1.96,207.1,0.98,0,9.82,0,0.98,0,0,0,0,35.33,0,0,45.15,0,3.93
 72-82,0,0,0,24.54,0.98,50.06,0,20.61,0.98,214.98,0.98,0,2.94,6.87,0,1.96,9.82,0.98,0,10.8,0,0,2.94,143.32,0,1.96,22.58,0,0.98,0,0,0,0,15.71,0.98,0.98,81.48,2.94,3.93
 84-94,0,0,0,47.79,0,44.61,0,42.48,1.06,117.89,0,0,3.19,5.31,0,8.5,5.31,0,0,14.87,0,0,5.31,89.21,2.12,2.12,38.23,0,2.12,0,1.06,0,0,11.68,0,1.06,65.85,2.12,2.12
 96-106,0,0,0,57.92,0,32.79,1.09,31.69,2.19,142.07,1.09,0,0,14.21,2.19,3.28,8.74,2.19,0,16.39,1.09,1.09,4.37,119.12,0,2.19,29.51,0,5.46,0,1.09,0,0,3.28,0,0,72.13,1.09,4.37
108-118,0,0,0,57.45,0.77,27.57,0,54.38,0,127.92,3.06,0,1.53,9.96,1.53,7.66,6.13,0.77,0,9.19,1.53,0,11.49,130.98,0.77,3.83,36,0,2.3,0,0,0,0,4.6,1.53,0.77,60.51,1.53,0.77
120,0,0,0,68.59,0,31.36,0,47.03,0,121.51,0,0,1.96,11.76,0,5.88,9.8,0,0,13.72,0,1.96,9.8,101.91,1.96,0,37.24,0,5.88,0,0,0,0,1.96,0,0,66.63,1.96,5.88
