stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,4190.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0
  5-6,91.94,2323.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,12.26,0,55.17,0,0,0,0,0,0,0,0,0
  7-9,23.66,44.69,89.38,0,0,105.15,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,1114.57,23.66,0,0,423.22,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,40.91,37.76,0,9.44,84.97,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,1013.32,6.29,0,0,374.49,0,0,6.29,0,34.62,3.15,9.44,0,0,0,0
 14-21,0,0,1,34,12,32,0,0,13,2,0,0,0,2,0,0,1,0,30,0,0,25,549,3,4,2,15,0,9,0,45,1,22,170,0,0,0,0
 24-34,0,0.82,2.46,19.7,1.64,165.81,0,0,21.34,2.46,0,0.82,2.46,0.82,0.82,0.82,3.28,0,83.73,0,0.82,25.45,1043.31,1.64,4.93,6.57,0,0,37.76,0,0,1.64,4.93,215.06,0,10.67,0,0.82
 36-46,0,0,0.81,8.86,4.03,252.98,0.81,0,17.72,2.42,0,1.61,2.42,0.81,0,0,0,0,66.06,0,2.42,20.95,581.69,0.81,4.83,2.42,0,0.81,12.09,0,0.81,0,0,143.41,0,6.45,0,0.81
 48-58,0,0,0.57,7.46,0.57,290.35,0.57,1.15,21.23,0,0,1.72,1.15,0,0.57,0,0,0.57,75.17,0,4.02,18.36,235.83,1.15,0,1.15,0,0,3.44,0,0,0,0,52.22,0,1.72,0,1.15
 60-70,0,0,0,7.85,0.98,206.12,0,0.98,20.61,0.98,0,1.96,0.98,0,0.98,0,0.98,0,63.8,0.98,7.85,5.89,116.8,0.98,0.98,2.94,0,0,0.98,0,0,1.96,0,8.83,0,7.85,0,0
 72-82,0,0,0,12.76,2.94,86.39,0,0,31.41,0,0,1.96,3.93,0,0.98,0,1.96,0,78.53,0,1.96,5.89,118.78,0,0.98,0,0,0,1.96,0,0,0.98,0,2.94,0,9.82,0,0
 84-94,0,0,0,9.56,6.37,82.84,0,0,19.12,2.12,0,1.06,2.12,2.12,1.06,1.06,2.12,0,54.16,0,4.25,5.31,97.71,2.12,0,1.06,0,0,4.25,0,0,0,0,1.06,3.19,6.37,0,0
 96-106,0,0,0,8.74,1.09,46.99,1.09,1.09,22.95,2.19,0,3.28,4.37,0,1.09,0,0,0,24.04,0,1.09,9.84,79.78,2.19,1.09,0,0,0,10.93,0,0,1.09,0,4.37,1.09,5.46,1.09,0
108-118,0,0,0,6.13,5.36,45.96,0,0,19.92,4.6,0,0.77,6.89,0,1.53,0.77,1.53,0.77,29.87,0,1.53,4.6,94.21,2.3,0.77,3.06,0,0,3.83,0,0,0,0,0,1.53,6.89,0.77,0
120,0,0,0,3.92,11.76,41.16,1.96,0,27.44,1.96,0,1.96,15.68,1.96,0,0,0,0,31.36,0,0,7.84,88.19,0,0,0,0,0,5.88,0,0,0,0,3.92,0,1.96,1.96,0
