stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pgc,presomitic.mesoderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,3.15,6.29,3.15,0,0,0
 14-21,0,3,2,1,0,0,1,1,0,1,6,1,14,0,0,0,1,5,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,1.64,0.82,10.67,0,0,0,0,2.46,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,5.64,0.81,8.86,0,0,0,0,1.61,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,0,5.16,0.57,4.59,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,6.87,0.98,1.96,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,7.85,0.98,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,4.25,1.06,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,0,1.09,1.09,1.09,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.53,0,0.77,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,3.92,0,3.92,0,0,0,0,0,0
