stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,lateral.line,mesenchyme,mucous,mural.cell,neural,olfactory,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,1.15,0.57,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0,3.93,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0.98,0,0,10.8,0,0,0
 84-94,0,0,0,1.06,0,0,2.12,0,1.06,0,0,1.06,1.06,0,50.98,1.06,0,3.19
 96-106,0,5.46,1.09,4.37,0,0,6.56,1.09,1.09,0,1.09,8.74,2.19,0,131.14,0,0,8.74
108-118,0,2.3,0.77,1.53,0,0,3.06,0,0,0,0,2.3,2.3,0.77,156.26,0,0,1.53
120,0,1.96,0,0,0,0,3.92,0,0,1.96,0,0,1.96,0,50.95,0,1.96,5.88
