stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,24.52,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,24.52,0,0,0,0,0,0,0
  7-9,2.63,5.26,5.26,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,76.23,5.26,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,62.94,0,0,28.32,0,0,9.44,0,0,0,0,0
 14-21,0,0,5,15,25,0,0,1,0,0,1,0,1,19,0,32,6,0,0,0,1,14,4,3,47,14,18,0
 24-34,0,0,3.28,1.64,2.46,0,0,0,0.82,0,2.46,0,0,27.09,0,16.42,4.1,0,0,0,0.82,0,3.28,0,0.82,4.1,45.15,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,21.75,1.61,8.06,1.61,0,0.81,0,0,0,1.61,0,0,0,19.34,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,11.48,0,2.87,0,0,0,0,0,0,0.57,0,0,0,9.75,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,2.94,0,1.96,0.98,0,0,0,0,0,0.98,0,0,0,6.87,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,4.91,0.98,0,0,0,0,0,0,0,0,0,0,0,7.85,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,1.06,0,1.06,0,0,0,0,0,0,0,0,0,11.68,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,7.65,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,3.06,0,1.53,0,0,0,0,0,0,0,0,0,0,4.6,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,5.88,0
