stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0.81,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,1.15,6.31,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0.98,0,0,1.96,6.87,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,0.98,2.94,0,0,0,3.93,7.85,0,0,0,5.89,4.91,3.93,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.19,0,0,0,0,11.68,0,0,0,2.12,24.43,9.56,0,0,0
 96-106,0,0,1.09,1.09,0,4.37,3.28,0,22.95,1.09,0,1.09,0,118.03,4.37,1.09,0,17.49,25.14,6.56,1.09,1.09,0
108-118,0,0,1.53,1.53,0.77,3.06,0.77,3.06,27.57,0,0.77,0,0,323.24,1.53,0,0.77,20.68,14.55,17.62,1.53,0.77,1.53
120,1.96,0,3.92,0,0,0,0,0,37.24,0,1.96,0,0,135.23,1.96,0,0,17.64,3.92,15.68,0,0,0
