stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,2701.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,1753.08,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,24.52,134.85,0,0,0,0,0,0,0,0,0,0
  7-9,47.32,52.57,0,86.75,0,0,0,160.35,0,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,1451.05,81.49,0,0,688.72,39.43,13.14,0,5.26,0,0,0,0,0,0,0
 10-12,0,22.03,0,56.65,0,3.15,0,78.67,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,859.12,31.47,0,0,346.17,18.88,0,0,25.18,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,305,0,0,4,0,3,0,0,1,0,0,0,9,0,1,0,0,0,1,0,0,8,0,4,6,0,52,0,2,9,0,3,0,0,0,0,0
 24-34,0,0,0,2.46,221.63,0.82,0,3.28,0,14.78,0,0,2.46,0.82,0,0,29.55,0,18.88,1.64,0.82,3.28,16.42,0,0.82,42.68,0,29.55,4.1,0,216.71,0,0,17.24,0,4.93,0,0,0.82,0,0.82
 36-46,0,0,0,0,78.96,0,0,2.42,0,13.7,0,0,1.61,0,0,0,14.5,0,11.28,1.61,0,2.42,11.28,0,0.81,44.31,0,17.72,7.25,0,210.28,0,0,9.67,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0,64.84,0,0,6.89,1.15,22.95,0.57,2.87,1.15,10.9,0,0,6.31,0,11.48,1.72,0,2.87,9.18,0,0.57,33.85,0,10.9,3.44,0,140.58,0,0,4.59,0,5.16,0,0,0,0,0.57
 60-70,0,0,0.98,0,112.88,0,0,6.87,0,31.41,0.98,0,13.74,9.82,0,0,9.82,0,17.67,0,0,2.94,6.87,0.98,0,20.61,0,12.76,6.87,0,165.88,0,0,9.82,0,3.93,6.87,0,0,0,0.98
 72-82,0,0,2.94,0,138.41,0,0,8.83,0,25.52,1.96,1.96,36.32,5.89,0,0,15.71,0,32.39,1.96,0,6.87,27.49,0,0.98,26.5,0,25.52,20.61,0,241.49,0,0,7.85,0,1.96,17.67,0,1.96,0,0
 84-94,0,0,3.19,0,248.52,0,1.06,7.43,0,57.35,0,1.06,77.53,4.25,1.06,6.37,31.86,0,42.48,3.19,1.06,7.43,20.18,1.06,0,14.87,1.06,29.74,19.12,0,631.91,0,0,29.74,0,0,84.96,0,2.12,0,0
 96-106,0,0,1.09,1.09,337.69,1.09,0,15.3,1.09,59.01,0,5.46,96.17,0,0,4.37,57.92,0,51.36,8.74,0,8.74,31.69,1.09,0,33.88,0,62.29,26.23,0,630.57,0,0,14.21,0,2.19,107.1,0,2.19,2.19,0
108-118,0,0,2.3,2.3,281.87,0.77,0.77,11.49,0.77,79.66,0,4.6,101.11,0,0.77,5.36,55.92,0,39.83,9.19,0.77,7.66,31.4,0,1.53,36.77,0.77,43.66,16.09,0,648.77,0,0,31.4,0,0,112.6,0.77,1.53,0.77,0
120,0,0,0,0,197.94,1.96,1.96,9.8,0,74.47,0,1.96,54.87,0,0,1.96,27.44,1.96,33.32,7.84,0,3.92,21.56,0,0,47.03,0,25.48,13.72,0,438.99,0,0,25.48,0,0,29.4,0,1.96,0,0
