stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,18.4,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,1,4,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0.82,0,13.95,0,0.82,0
 36-46,0,0,0.81,1.61,0,0,0,0,0,0,0,0.81,0,0,3.22,0,16.11,0,0.81,0
 48-58,0,0,0,2.3,0,0,0,0,0,0,0,1.15,0,0.57,4.02,0,13.77,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,1.96,0,19.63,0,0,0
 72-82,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0,0,0,1.96,0,7.85,0,0,0.98
 84-94,0,0,1.06,3.19,1.06,0,0,0,1.06,0,2.12,0,1.06,0,2.12,0,22.3,0,0,0
 96-106,0,0,3.28,0,0,0,2.19,0,1.09,0,5.46,4.37,0,1.09,4.37,0,17.49,0,0,0
108-118,0,0,10.72,0.77,2.3,0.77,14.55,0,0,1.53,6.89,1.53,0,0,0.77,0,33.7,0,0,0
120,0,0,9.8,0,0,0,1.96,0,0,1.96,1.96,1.96,0,0,1.96,0,31.36,0,0,0
