stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,5,0,0,1,1,2,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,13.95,0,0,1.64,0,2.46,0,0,0
 36-46,0,0,0,0,1.61,0.81,0,0,0,0,0,0,0.81,0,16.11,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,4.59,0,0,0,0.57,0,0,0,0.57,0.57,13.77,0,0,0,0,0.57,0,0.57,0
 60-70,0,0,0,0,33.37,0,0,0,0,0,0,0,1.96,0.98,15.7,0,0,0,0,4.91,0,0,0
 72-82,0,0,0.98,0,149.21,0,0,0.98,2.94,0,0,0,2.94,0.98,29.45,0,0,0,0,5.89,0,0,0
 84-94,1.06,0,0,0,157.18,0,0,1.06,2.12,1.06,0,0,1.06,0,10.62,0,0,0,0,1.06,0,0,0
 96-106,1.09,0,3.28,0,195.62,0,0,0,4.37,0,0,0,2.19,0,12.02,1.09,0,0,0,3.28,0,0,0
108-118,0,0,0.77,0,171.58,0,0,0,1.53,0,0,0,1.53,0.77,11.49,0.77,0,0.77,0,2.3,0.77,0,0
120,0,0,1.96,1.96,101.91,0,1.96,0,1.96,1.96,0,1.96,3.92,0,9.8,0,0,0,0,0,0,0,1.96
