stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,2,1,0,0,1,0,0,0,0
 24-34,0,0,4.1,0,0,0.82,0,2.46,0,0,0,0,0,0,0,0,0,0,1.64,0,0,3.28,215.89,0,22.16,0.82,0,0.82,0,0,0,0,0.82,7.39,0,0,0,0
 36-46,0,0,0.81,0,0,3.22,0,0,0.81,1.61,0,0,0,0,0,0,0,1.61,2.42,0,0,0.81,308.57,0,11.28,0,0,0.81,0.81,0,0,0,0,3.22,0,0,0.81,0
 48-58,0,0,4.02,0,0,43.04,0,2.3,1.72,6.89,0,0,1.15,0.57,0,0,0,1.72,12.62,0,0,2.87,757.42,0,3.44,0,0,2.3,0,0,0,0,0,24.67,0,0,0,1.15
 60-70,0,0,0.98,0.98,0,74.6,0,0.98,0.98,9.82,0,0.98,0,0,0,0.98,0.98,0.98,19.63,0,1.96,0.98,1308.37,0,1.96,0,0.98,7.85,0,0,0,0,0,70.67,0,0.98,1.96,1.96
 72-82,0,0,15.71,1.96,0,123.69,0,0.98,0,22.58,0,0.98,1.96,0,2.94,0,0,0,29.45,0.98,0.98,5.89,1068.05,0,2.94,0.98,0.98,3.93,0,0,0.98,0,0,68.72,1.96,0.98,2.94,3.93
 84-94,0,0,15.93,2.12,0,114.7,0,1.06,0,25.49,1.06,0,3.19,1.06,0,0,0,1.06,16.99,0,2.12,1.06,559.69,0,3.19,1.06,0,5.31,0,0,0,1.06,0,44.61,0,1.06,0,1.06
 96-106,0,0,10.93,5.46,0,77.59,1.09,1.09,1.09,21.86,0,0,1.09,0,3.28,1.09,1.09,0,26.23,1.09,0,2.19,428.4,1.09,3.28,1.09,0,7.65,0,0,1.09,0,0,24.04,0,0,0,1.09
108-118,0,0,6.89,1.53,0.77,30.64,1.53,0.77,0.77,6.89,0,0,0,1.53,0.77,0,1.53,0.77,9.96,0,0.77,1.53,499.41,0,2.3,0,0,3.06,0,0,0,0,0,15.32,0,0,0.77,1.53
120,0,0,9.8,1.96,1.96,48.99,1.96,0,0,9.8,0,0,5.88,0,1.96,0,0,0,23.52,0,1.96,1.96,566.38,0,0,0,3.92,1.96,0,0,0,0,0,7.84,0,0,3.92,0
