stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,0,1.64,0,1.64,0,0,0.82,0.82,0,0,0.82,0,0,0.82,0,2.46,0.82,0,0.82,26.27,0,0,0.82,0,0,6.57,0,0,0,8.21,0,0,0,0,0
 36-46,0,0,0,0.81,0,1.61,0,0,2.42,0,0,0.81,0,0,0,0,0,1.61,0,0,0,23.36,0,0.81,0,0,0,4.83,0,0,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,0,0,6.31,0,0,3.44,0,0,2.3,0,0.57,0.57,1.15,0.57,8.03,0,0.57,0.57,17.79,0,1.15,0.57,0,0,6.31,0.57,0,0,4.02,0,0,2.3,0,0
 60-70,0,0,0.98,0,0,4.91,0,0.98,6.87,2.94,0.98,2.94,0.98,0,0,0.98,0,8.83,0.98,0,2.94,11.78,0,3.93,0,0,0,18.65,0,0,0,0.98,0,0,1.96,0,0
 72-82,0,0,0,1.96,0.98,5.89,0,0.98,17.67,6.87,1.96,9.82,3.93,0,1.96,0,0,20.61,1.96,2.94,1.96,20.61,0,1.96,1.96,0,0.98,18.65,0,0,0,2.94,0,2.94,2.94,0,1.96
 84-94,0,1.06,0,10.62,3.19,5.31,1.06,1.06,12.74,5.31,0,25.49,3.19,0,0,0,0,15.93,0,1.06,3.19,19.12,1.06,3.19,5.31,0,0,69.03,0,1.06,0,0,2.12,1.06,5.31,0,1.06
 96-106,0,0,0,27.32,0,7.65,2.19,1.09,9.84,9.84,3.28,30.6,9.84,0,0,2.19,0,31.69,5.46,0,2.19,17.49,0,7.65,3.28,0,0,72.13,0,0,0,1.09,2.19,0,13.11,1.09,1.09
108-118,0,0,0.77,25.28,2.3,7.66,4.6,0.77,17.62,10.72,1.53,17.62,10.72,0,3.83,1.53,0,29.11,1.53,1.53,2.3,14.55,0,2.3,1.53,0,0.77,69.7,0,1.53,0.77,0.77,4.6,0,9.19,0,1.53
120,0,0,0,25.48,0,5.88,5.88,1.96,7.84,5.88,0,31.36,5.88,0,0,1.96,0,9.8,3.92,1.96,1.96,19.6,0,3.92,3.92,0,0,111.71,0,0,0,0,0,0,7.84,1.96,1.96
