stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,0.98,0,0,1.96,0,0.98,0.98,0,0,0.98,0,0,0.98,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,8.83,0,0,0,4.91,0,0,9.82,0,0,0,0,0,6.87,0,0,0,21.6,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0.98,0,0
 84-94,0,0,2.12,0,1.06,0,0,0,1.06,0,0,4.25,0,0,1.06,0,0,1.06,0,0,1.06,4.25,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0,0
 96-106,0,10.93,13.11,1.09,25.14,0,5.46,0,12.02,4.37,1.09,29.51,3.28,2.19,2.19,4.37,0,25.14,2.19,2.19,2.19,83.06,1.09,2.19,7.65,6.56,20.76,0,0,0,1.09,2.19,1.09,3.28,2.19,1.09
108-118,0.77,9.96,4.6,2.3,29.87,0.77,3.06,2.3,9.96,0.77,0,23.74,1.53,1.53,0.77,0,1.53,28.34,0.77,3.06,2.3,63.57,0.77,3.06,0.77,0.77,9.19,1.53,0.77,0,3.83,0.77,1.53,1.53,0,3.06
120,0,13.72,3.92,0,19.6,0,0,1.96,11.76,3.92,3.92,54.87,1.96,0,0,0,1.96,19.6,0,0,3.92,84.27,0,0,0,0,9.8,0,0,0,0,0,0,5.88,3.92,0
