stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,4.83,0,8.06,0.81,0,0.81,0,0,0,0,0,6.45,0,0,0.81,0.81,0,14.5,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,5.16,0,5.16,10.33,0,1.72,0,0,0,0,0,36.72,0,0,1.72,4.02,0,10.9,0.57,0,0,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0,26.5,0,11.78,26.5,2.94,2.94,0,0,0,0,0,133.49,0,0,2.94,7.85,0,15.7,2.94,0,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,7.85,0,74.61,0.98,10.8,19.63,6.87,0.98,0,0.98,0,0.98,0.98,373.03,0,0,3.93,20.61,0.98,22.58,0.98,0,0,0.98,0,0.98,0,1.96,0,1.96,0.98
 84-94,0,0,0,5.31,0,73.28,0,12.74,19.12,4.25,4.25,0,2.12,1.06,0,0,301.62,0,2.12,1.06,6.37,0,20.18,4.25,0,0,0,0,1.06,1.06,0,0,2.12,0
 96-106,0,0,0,5.46,2.19,59.01,0,7.65,12.02,16.39,1.09,2.19,0,0,0,0,323.48,0,2.19,5.46,13.11,0,20.76,4.37,0,2.19,1.09,1.09,0,0,0,2.19,6.56,0
108-118,0,0,0,3.83,0.77,33.7,0.77,1.53,8.43,10.72,1.53,0,1.53,0,0,0,299.49,0.77,0,2.3,18.38,0,14.55,1.53,0,1.53,2.3,0,0.77,0,0.77,0,3.83,0
120,0,1.96,0,7.84,0,35.28,1.96,0,5.88,7.84,0,0,1.96,1.96,0,0,254.77,1.96,0,0,0,0,17.64,0,0,1.96,0,0,0,0,1.96,0,1.96,1.96
