stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,4.93,0,0.82,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0,0,5.16,0.57,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,1.96,0,13.74,0,0,0,0,0,0.98,0,0,0
 72-82,0,2.94,0,0,0,0,0,0,0.98,3.93,0.98,0,0,0,1.96,0,19.63,3.93,0,0,0.98,0,0,2.94,0,0.98
 84-94,0,0,0,0,4.25,0,0,0,0,1.06,1.06,0,0,1.06,6.37,0,13.81,0,0,0,0,0,0,2.12,0,4.25
 96-106,0,5.46,0,0,4.37,1.09,1.09,1.09,2.19,9.84,0,0,0,1.09,4.37,2.19,19.67,0,0,0,1.09,0,0,1.09,0,0
108-118,0,5.36,0,0.77,3.83,0,2.3,0,0,4.6,0,0.77,1.53,1.53,6.13,0,28.34,0.77,0,0,0.77,0,0.77,0,0,2.3
120,0,0,0,0,0,0,0,0,1.96,7.84,0,0,0,3.92,5.88,0,21.56,0,0,1.96,0,0,1.96,0,1.96,1.96
