stage,axial,blastomeres,endoderm,erythrocytes,eye,fast.muscle,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,7.89,0,0,0,0,52.57,0,0,7.89,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,22.03,3.15,0,6.29,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,3,0,0,0,2,7,2
 24-34,0,0,0,0,0,0,0.82,0.82,0,5.75,0,0.82,0,0,2.46,2.46
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,1.72,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,1.96,0,0,4.91,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,3.19,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,1.09,0,1.09,3.28,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,1.53,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0
