stage,axial,blastomeres,epidermis,eye,glial,heart,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,1,0,7,0,0,1,1,0
 24-34,0,0,0,0,0,0,1.64,0,3.28,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,2.87,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
