stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,2,0,0
 24-34,0,0,0,2.46,0,0,0,0,0.82,0,0,0,8.21,0,0,0,0,0,0,0,0.82,94.4,0,0,0,0,0.82,0,27.09,0,5.75,0,0.82
 36-46,0,0,0.81,0.81,2.42,0,0,0.81,4.83,0,0,0.81,15.31,0,0,0,0,0.81,0,0,0,284.4,0,0,0,0,0,0.81,46.73,0,6.45,0,0
 48-58,0,0,1.15,0.57,16.64,0,0,0,25.25,0,0,0,16.07,0,0,0,0,2.87,0,0,0.57,398.22,0,1.72,0,0,0.57,0,67.71,0,7.46,0,0
 60-70,0,0.98,0,3.93,40.24,0,0.98,0.98,46.13,0,0,0,32.39,0,0,0,0,7.85,0,0,0.98,902.02,0,0,0,0,0,0,89.32,0,9.82,0,0
 72-82,0,0,0.98,10.8,64.79,0,0,2.94,27.49,0.98,0,1.96,89.33,0,0,0.98,0,12.76,0,0,0.98,791.22,0,1.96,0,0,2.94,0,41.23,0,17.67,0,0.98
 84-94,0,0,4.25,6.37,55.23,0,0,0,20.18,1.06,0,1.06,110.45,1.06,0,0,0,8.5,1.06,0,0,373.84,0,0,0,0,0,0,25.49,0,24.43,0,0
 96-106,0,0,3.28,4.37,51.36,0,0,2.19,16.39,1.09,1.09,1.09,121.31,1.09,1.09,0,2.19,8.74,0,0,1.09,268.84,0,0,1.09,0,1.09,0,13.11,0,22.95,1.09,0
108-118,0,0,2.3,4.6,25.28,0.77,0,0.77,16.85,3.83,0,1.53,114.13,0,1.53,0,0,5.36,0,0.77,0.77,302.56,0,0.77,0.77,0,0.77,0,8.43,0.77,16.85,0,0
120,0,0,3.92,9.8,27.44,0,0,1.96,21.56,0,0,0,111.71,0,0,0,0,3.92,0,0,1.96,378.24,0,0,0,0,1.96,0,21.56,0,15.68,0,0
