stage,epidermis,eye,fin_epithelia,glial,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord
 14-21,3,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,55.82,0,0.82,0,0,0,0,0,0.82,0,0,0,7.39,0
 36-46,82.18,0,11.28,0.81,0.81,0,0.81,0,0,0,3.22,0,26.59,0
 48-58,53.94,1.72,6.31,0,0,0,0,0.57,0,0.57,3.44,0,10.9,0.57
 60-70,47.11,0,14.72,0,0,0,0,0.98,0.98,0,0,0,10.8,0.98
 72-82,55.95,0.98,7.85,1.96,0,0,0,0,2.94,0.98,0,0,22.58,1.96
 84-94,126.38,2.12,16.99,0,0,1.06,0,0,2.12,0,1.06,0,40.36,1.06
 96-106,75.41,2.19,7.65,0,0,0,0,0,1.09,0,2.19,0,29.51,0
108-118,84.26,0,17.62,0,0,0.77,0,0,0.77,0,0,0.77,13.79,0
120,86.23,0,25.48,0,1.96,0,0,1.96,0,0,0,0,13.72,0
