stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,1,40,61,25,0,11,0,0,0,6,6,1,3,7,2,0,1,52,1,187,0,0,148,336,123,0,3,3,0,4,1,31,4,7,64,68,0,0,1,0,0
 24-34,0.82,0.82,23.8,56.64,11.49,0,41.86,164.17,13.13,22.98,12.31,4.93,0,17.24,7.39,2.46,1.64,4.1,93.58,2.46,764.22,3.28,2.46,445.72,494.98,10.67,7.39,9.85,0.82,0,14.78,0,2.46,25.45,5.75,82.09,107.53,0,0,18.88,0,2.46
 36-46,0,0,5.64,82.18,2.42,0,88.62,427.81,12.09,91.04,21.75,5.64,0,23.36,2.42,0.81,0.81,5.64,70.09,5.64,1618.59,2.42,23.36,536.58,563.16,25.78,6.45,16.92,0,3.22,28.2,0,5.64,33.03,16.11,10.47,120.04,0,1.61,4.83,0.81,10.47
 48-58,0.57,0,3.44,109.02,6.31,0,244.44,451.58,27.54,123.37,53.36,9.75,1.15,21.8,5.16,2.3,2.3,1.15,73.45,10.9,2240.13,2.3,48.2,553.72,709.22,49.92,2.87,21.23,0.57,9.18,67.71,0,0.57,22.38,72.87,0.57,135.99,0,2.87,9.18,0,27.54
 60-70,0,0.98,0,93.24,11.78,4.91,324.88,349.42,30.43,156.06,54.97,6.87,0.98,5.89,7.85,3.93,4.91,0.98,96.19,8.83,2709.98,1.96,71.65,396.53,557.5,18.65,3.93,15.7,1.96,13.74,71.65,0.98,1.96,30.43,58.89,0,74.6,2.94,21.59,7.85,21.59,33.37
 72-82,0,6.87,0.98,147.25,37.3,70.68,513.41,266.03,34.36,277.81,112.89,52.03,0.98,6.87,13.74,8.83,2.94,10.8,209.09,13.74,3644.91,7.85,95.22,488.87,793.18,29.45,12.76,29.45,0.98,21.6,79.51,0.98,0.98,28.47,37.3,0,55.95,11.78,53.99,23.56,78.53,29.45
 84-94,1.06,2.12,1.06,214.53,41.42,148.69,597.93,403.57,44.61,196.48,92.4,43.54,0,10.62,22.3,14.87,15.93,7.43,563.94,7.43,2817.59,10.62,110.45,426.94,563.94,31.86,11.68,29.74,1.06,10.62,170.99,0,0,42.48,49.92,0,37.17,13.81,58.41,24.43,92.4,32.92
 96-106,1.09,4.37,2.19,393.42,140.98,313.65,789.04,673.19,79.78,198.9,231.68,131.14,0,15.3,78.68,28.41,12.02,21.86,872.09,6.56,2918.99,25.14,90.71,431.67,1155.14,20.76,39.34,49.18,0,20.76,274.3,0,0,46.99,39.34,0,43.71,18.58,43.71,81.96,112.56,48.09
108-118,1.53,7.66,3.06,286.47,52.09,648.77,504.77,527.75,71.23,188.43,147.06,144.77,0,8.43,45.96,22.21,16.09,13.02,1604.69,12.26,2899.17,9.96,78.13,490.22,1057.03,35.23,17.62,52.09,0,22.21,181.53,0,0,62.04,42.89,0,37.53,10.72,28.34,40.6,66.64,26.81
120,0,0,0,227.34,72.51,288.09,356.68,325.32,48.99,211.66,125.43,141.1,0,13.72,52.91,15.68,5.88,11.76,926.98,7.84,2941.64,5.88,76.43,570.3,944.62,29.4,7.84,47.03,0,21.56,115.63,0,1.96,47.03,27.44,0,37.24,11.76,35.28,35.28,84.27,11.76
