stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,heart,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,2.46,0,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0.81,4.03,0,0,0,0,0,0,0,0
 48-58,0,0,1.15,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0.98,1.96,0.98,0,0,0,0,2.94,0,0,4.91,0,0.98,0,0,0,0,0.98,10.8
 72-82,0,0,7.85,10.8,0.98,0,0,0.98,0,17.67,1.96,0.98,2.94,0,0,0,0,0,0,5.89,36.32
 84-94,0,1.06,5.31,19.12,0,0,0,0,0,15.93,5.31,2.12,3.19,0,0,0,0,0,2.12,4.25,46.73
 96-106,0,0,3.28,26.23,0,3.28,1.09,0,1.09,20.76,0,0,6.56,1.09,0,0,0,0,0,12.02,89.61
108-118,0,0,7.66,18.38,0,0.77,0,0,0.77,19.15,1.53,4.6,3.06,0.77,0,0.77,0,0,0,2.3,43.66
120,0,0,1.96,9.8,0,0,0,0,1.96,9.8,3.92,0,3.92,0,1.96,0,0,0,0,3.92,52.91
