stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0.82,5.75,0,1.64,55,0,0.82,0.82,0,0,0,0,0,0,10.67,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,1.61,0,0,0.81,2.42,0,0,0,0,0,0,0,0,0.81,0,6.45,155.49,0,1.61,2.42,0,0,0.81,0,0,1.61,25.78,0,0,0,0,0.81
 48-58,0,0,0,3.44,0,0,14.92,0.57,0,0.57,11.48,0,0,0.57,0,0,0,0,0,12.62,0,2.3,327.07,0.57,0,4.02,0,0,0,0,0,0,53.94,0,0,0,0,0
 60-70,0,0.98,0,0.98,0.98,0,38.28,0,0,0.98,44.17,0,0,0,0,0,0,0,0,33.37,0,2.94,687.07,0,2.94,3.93,0,0,0,0,0,0.98,74.6,0,0,0,0,0
 72-82,0,0.98,0,2.94,0.98,0,78.53,0,0,4.91,52.03,0.98,0,0.98,0.98,0,1.96,0,0,35.34,0,2.94,577.22,0,1.96,8.83,0,0,0,0,0,0,53.99,0,2.94,0,0,0
 84-94,0,2.12,0,12.74,0,0,67.97,0,1.06,5.31,27.61,0,0,0,1.06,1.06,0,0,0,20.18,0,5.31,286.75,0,0,10.62,0,0,0,0,0,2.12,32.92,0,1.06,0,1.06,0
 96-106,0,0,0,17.49,2.19,1.09,59.01,0,0,3.28,14.21,1.09,1.09,0,0,0,0,0,0,39.34,1.09,1.09,244.8,0,7.65,17.49,0,1.09,0,0,0,4.37,8.74,2.19,0,1.09,0,1.09
108-118,0,0.77,0,19.15,0.77,0.77,29.11,0,0.77,1.53,19.92,0.77,0,0.77,0,0,0,0.77,0,29.87,0,3.06,223.66,0,3.06,9.96,0,0,0,0,0,5.36,7.66,0.77,0.77,0,0,0
120,0,0,0,9.8,0,0,39.2,0,0,1.96,19.6,1.96,0,0,0,0,0,1.96,0,25.48,0,0,248.89,0,5.88,9.8,0,0,1.96,0,0,3.92,7.84,0,0,1.96,0,0
