stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,3.15,0,0
 14-21,1,1,0,0,0,1,0,2,0,1,0,1
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,4.03,0,0,0.81,0
 48-58,0.57,0,0.57,0,0,1.72,0,2.3,0,0,0,0
 60-70,0,0,10.8,0,0.98,0.98,0,2.94,0,0,0,0.98
 72-82,0,0,5.89,0.98,0,0.98,0.98,0,0,0,0,0
 84-94,0,0,9.56,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,3.28,0,0,0,0,0,1.09,0,0,0
108-118,0.77,0,5.36,0,0,0,0,0.77,0,0,0,0
120,0,0,3.92,0,0,1.96,0,0,0,0,0,0
