stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,18.4,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,5.26,0,0,49.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,9.44,0,0,37.76,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,2,0,0,0,1,0,1,0,0,0,0,0,0,5,0,2,28,0,0,0,2,0,0,6,0,0,10,9,0,0,0
 24-34,0,0,0,0,2.46,0,3.28,0,0,0,1.64,0,0,0,0,0,0,0,0,3.28,0,1.64,41.04,0.82,0,0,0,0,0.82,0,0,2.46,1.64,9.85,0,0,0
 36-46,0,0,0,0,0.81,0,3.22,0,0,0,2.42,0.81,0,0,0,0,0,0,0.81,4.83,0.81,4.83,12.89,0,1.61,0.81,0,0,1.61,0,0.81,0,0,2.42,0.81,0,0
 48-58,0,0,0,0,1.72,0,5.16,0,0,0.57,3.44,0,0.57,0,0,0,0.57,0,0.57,9.18,0.57,1.15,10.9,0,0,0,0,0,1.15,0,0,0,0,6.31,0,0,0.57
 60-70,0,0,0,0,0.98,0,4.91,0.98,0,0,2.94,0,0,0,0,0,0,0,0,3.93,0,0,3.93,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0,0,0.98
 72-82,0,0,0.98,0,0,0,2.94,0.98,0,0,7.85,0,0,0,0.98,0,0,0,0,12.76,0,2.94,8.83,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,2.12,0,0,1.06,4.25,0,0,2.12,0,0,0,0,1.06,5.31,0,1.06,6.37,1.06,0,0,0,0,6.37,0,0,0,0,4.25,2.12,1.06,1.06
 96-106,0,0,0,0,2.19,2.19,3.28,0,0,0,4.37,0,0,0,0,1.09,1.09,0,0,14.21,0,1.09,2.19,0,1.09,1.09,0,1.09,4.37,0,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0,0,0,0,0.77,0,0.77,11.49,0,0,0,0,1.53,0,0.77,0.77,5.36,0.77,0.77,3.06,1.53,0,0,0,0,1.53,0,0,0,0,0,2.3,0.77,1.53
120,0,0,0,0,3.92,0,1.96,0,1.96,0,5.88,1.96,0,0,0,0,0,1.96,0,3.92,0,1.96,7.84,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
