stage,blastomeres,endoderm,epidermis,eye,glial,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,2.46,0,0,0.82,0.82
 36-46,0,0.81,0.81,0,0,0,0,0,0.81,0,0,2.42,0,0,0,0
 48-58,0,0,0.57,1.15,0.57,0,0,0,10.33,0,0,1.72,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,0,0.98,20.61,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,0,42.21,1.96,0,3.93,0.98,0,0,0
 84-94,0,0,0,3.19,0,0,0,0,26.55,0,0,1.06,0,0,1.06,0
 96-106,0,0,1.09,1.09,0,1.09,1.09,0,20.76,0,0,2.19,0,2.19,0,0
108-118,0,0,2.3,0.77,0,0,0,0,9.96,0,0.77,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0
