stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,5.26,0,0,0,44.69,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,276.01,13.14,0,0,107.78,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,18.88,0,3.15,0,50.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.28,12.59,0,0,185.67,0,3.15,0,0,37.76,0,0,0,0,0,0,0
 14-21,0,0,2,2,11,23,0,8,0,0,0,3,0,0,0,0,1,0,0,0,0,24,0,0,9,128,2,0,3,5,0,0,1,12,1,11,46,0,0,4,0,0
 24-34,0,0,0,0,11.49,4.1,0,34.48,0,0,1.64,5.75,0,0,1.64,0.82,1.64,0,1.64,0.82,0.82,48.43,0,0,9.03,396.47,2.46,1.64,4.93,0,0,0,0,0,0.82,6.57,74.7,0,0,14.78,0,0
 36-46,0,0,0,0,4.03,1.61,0,43.51,0,0,1.61,10.47,0,0,0.81,0,0,0.81,0.81,0,0,37.87,0,0,8.06,352.08,0.81,2.42,1.61,0,0,0,0,0,0,0,82.18,0,0,8.06,0,0
 48-58,0,0,0,0,2.87,0.57,0,74.59,0.57,1.15,0,7.46,0.57,0,0.57,0,0,0,0,0,0,30.41,0,0.57,5.74,227.8,0,2.3,1.15,0,0.57,0.57,0,0,0.57,0,47.05,0,0,4.02,0,0
 60-70,0,0,0,0,2.94,4.91,0,131.52,0,0,0.98,11.78,0,0,1.96,0,0,0,0,0.98,0,54.97,0,1.96,2.94,322.92,0,0,0,0,0,0,0,0,0,0,49.08,0,2.94,0.98,0,0
 72-82,0,0,1.96,0,8.83,27.49,0,158.05,0,0,6.87,20.61,0.98,0,7.85,0,0,0.98,0.98,0.98,0,97.18,0,1.96,3.93,298.43,0,1.96,0.98,0,0,0,0,0,0,0,44.17,0.98,1.96,13.74,1.96,0
 84-94,0,0,2.12,0,6.37,15.93,0,91.34,0,2.12,2.12,13.81,5.31,1.06,3.19,2.12,2.12,1.06,0,0,0,60.54,0,3.19,4.25,161.43,0,3.19,2.12,0,0,1.06,0,0,1.06,0,14.87,0,3.19,18.05,2.12,0
 96-106,0,0,0,0,6.56,25.14,0,45.9,0,0,1.09,8.74,0,0,3.28,1.09,2.19,1.09,0,0,1.09,46.99,0,0,2.19,91.8,0,1.09,2.19,0,0,1.09,1.09,0,0,0,4.37,0,4.37,10.93,2.19,1.09
108-118,0,0,0,0,5.36,15.32,0.77,51.32,0,1.53,1.53,7.66,1.53,0,2.3,1.53,9.19,0,0,0,0,44.43,1.53,0,3.83,164.68,0.77,0,0.77,0,0,0,0,0,0,0,3.83,0.77,0,13.02,0.77,1.53
120,0,0,0,0,11.76,11.76,1.96,68.59,0,0,0,7.84,0,0,5.88,3.92,3.92,0,1.96,1.96,0,39.2,0,1.96,11.76,180.3,5.88,1.96,0,0,0,0,0,0,0,0,7.84,3.92,0,7.84,0,0
