stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,6.29,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,56,0,0,1,0,0,0,0,2,1,0,28,0,0,0
 24-34,0,0,0,2.46,0,4.1,0,0,0,3.28,0,0.82,0,0,1.64,0,13.13,0,0,7.39,79.62,0,0.82,4.93,0,0,0.82,0,0,0,0.82,22.98,0,1.64,0
 36-46,0,0,0,0.81,0,6.45,0,0,0,10.47,0.81,0,1.61,0,0.81,0,21.75,0,0,1.61,88.62,0.81,0,0,0,0,0,0,0,0.81,0,20.95,0,2.42,0
 48-58,0,0,0,2.3,0,13.77,0,0,0,13.2,0.57,0,0,0,2.87,0,49.92,0,0,1.15,47.05,0,0,1.15,0,0,0,0,0,0,0,29.26,0,1.15,0
 60-70,0,0,0,1.96,0,18.65,0,0,0,10.8,0,0.98,0,0,1.96,0,189.43,0,0,4.91,43.19,0,0,2.94,0,0,0,0,0,0,0,27.48,0,0,0
 72-82,0,0,0.98,0.98,1.96,31.41,0.98,0.98,2.94,21.6,0.98,3.93,0,0,5.89,0,398.55,0,1.96,14.72,42.21,0,0,1.96,0,0,0,0,0,0,0,21.6,0,0,0
 84-94,0,0,0,5.31,1.06,25.49,0,0,1.06,11.68,1.06,2.12,2.12,2.12,4.25,0,232.59,0,2.12,5.31,22.3,0,0,1.06,0,0,2.12,0,0,2.12,0,10.62,1.06,0,0
 96-106,0,0,0,0,1.09,15.3,0,3.28,1.09,16.39,2.19,2.19,1.09,1.09,3.28,2.19,289.6,1.09,2.19,4.37,27.32,1.09,1.09,1.09,0,1.09,1.09,0,0,0,0,27.32,1.09,1.09,1.09
108-118,0,0,0,3.06,0,12.26,0,1.53,1.53,14.55,0.77,0,0,0.77,4.6,0,265.79,0,0.77,4.6,21.45,0,1.53,1.53,0,0,1.53,0,0,0,0,9.19,1.53,0,0.77
120,0,0,0,3.92,3.92,9.8,0,0,0,9.8,1.96,1.96,1.96,0,3.92,0,190.1,0,3.92,1.96,29.4,0,0,7.84,0,0,1.96,0,0,0,0,9.8,1.96,3.92,0
