stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0,1,1,0,0,2,2,0,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,19.7,0,0,0,0,3.28,0,0,0,3.28,4.93,0,0,1.64,0,0.82
 36-46,0,0,0,0.81,0,0,1.61,0.81,0,0,1.61,0,0,0,0,0.81,0,0,4.03,0,0.81,15.31,0,0,0.81,0,2.42,0,0.81,0,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,1.15,1.15,0,4.02,0,0.57,0.57,2.87,0.57,0,0,0,0,0,0,3.44,0,2.3,14.35,0,1.15,0,0,1.15,0,0,0,0,4.02,0,0,0,0,0
 60-70,0,0,0,1.96,0.98,0,10.8,0,0,0,7.85,0,0,0.98,0,0,0.98,0,7.85,0,0.98,18.65,0,0,0,0,0.98,0,0.98,0,0,4.91,0,0,1.96,0.98,0.98
 72-82,0,0,0,1.96,6.87,0,18.65,0,0,0,10.8,0,0.98,0,0,0,0.98,0,15.71,1.96,0,23.56,0,0,0,0,1.96,0,0,0,0,0.98,0.98,1.96,3.93,0,0
 84-94,0,0,0,0,6.37,0,12.74,0,0,1.06,4.25,0,0,2.12,0,0,1.06,1.06,7.43,1.06,0,8.5,1.06,0,0,0,3.19,0,2.12,0,0,1.06,0,0,2.12,1.06,0
 96-106,0,0,0,4.37,7.65,0,10.93,0,0,1.09,2.19,2.19,0,0,0,0,2.19,0,3.28,0,1.09,16.39,0,1.09,0,0,3.28,0,0,0,0,0,0,0,5.46,3.28,0
108-118,0,0,0,0.77,3.83,0.77,7.66,0.77,0,0.77,6.89,0.77,0,0,0.77,0,0.77,0,1.53,0,2.3,13.02,0,1.53,0.77,0,3.83,0,0.77,0,0,0.77,0.77,0,2.3,1.53,0
120,0,0,0,3.92,9.8,0,3.92,0,0,0,0,0,0,0,0,0,0,0,5.88,0,3.92,27.44,1.96,0,1.96,0,3.92,0,0,3.92,0,0,0,0,3.92,0,0
