stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,1,17,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0.82,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0.82,175.66,0,0.82,0,0.82,0.82,0,73.06,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,4.03,0,0,0,0,0,0,0,0.81,0,0,0,215.92,0,4.83,0,0,0.81,0,109.57,0,0,0.81,0,0
 48-58,0,0,0.57,0,2.87,1.15,0,17.21,0,0,0,6.31,0,0,0.57,0,0,0,0,2.3,0,0,0,234.69,0,3.44,0,0.57,0,0,140.01,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,77.54,0,0,0.98,16.69,0,0,0,0,1.96,0,0,13.74,0,0,0,496.65,0,0.98,0,0.98,0,0,183.54,0,0,0,0,0.98
 72-82,0,0,0.98,0,7.85,0.98,0,147.25,0,0,0,27.49,0.98,0,0.98,0.98,0,0,0.98,21.6,0.98,0,0,644.95,0.98,2.94,1.96,0,0,0,95.22,0.98,0,0,1.96,0
 84-94,0,0,0,0,6.37,0,0,95.58,0,0,1.06,20.18,1.06,0,0,0,0,0,0,14.87,0,2.12,1.06,386.58,1.06,1.06,0,2.12,3.19,0,48.85,0,0,2.12,0,1.06
 96-106,0,0,0,0,6.56,2.19,0,96.17,0,1.09,0,17.49,0,0,1.09,1.09,2.19,0,0,24.04,0,1.09,0,362.83,1.09,0,1.09,2.19,2.19,0,29.51,1.09,1.09,4.37,2.19,1.09
108-118,0,0,0.77,0,4.6,2.3,0.77,74.3,0,0,0.77,13.02,0,0,0,0,0.77,0.77,0,21.45,0,0,3.06,386.81,0.77,3.83,0,4.6,0.77,0,21.45,0.77,2.3,1.53,0.77,0.77
120,0,0,0,0,3.92,1.96,0,56.83,1.96,0,0,27.44,0,0,0,0,0,0,0,11.76,0,0,1.96,544.82,0,0,1.96,0,0,0,48.99,0,0,1.96,3.92,0
