stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,4,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,7.39,0.82,0,0,0,0,2.46,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,2.42,0.81,0,0,6.45,0,0,0,0,0.81,3.22,0,0
 48-58,0,0,1.72,0.57,0,0,0,0,0,0,1.72,0,0,0.57,3.44,0,1.15,6.31,0,0,0,0,0,1.15,0,9.18
 60-70,0,0,2.94,0,0,0,0,0,0,0,6.87,0,0,0,1.96,0,0.98,5.89,0,0,0,0,0,0.98,0,13.74
 72-82,0,0,2.94,0,1.96,0,0,0,0,0,5.89,0,0,0,1.96,0,0,2.94,0,0,0,0.98,0,0,0.98,20.61
 84-94,1.06,0,2.12,0,0,0,1.06,0,1.06,1.06,11.68,0,0,0,0,0,0,2.12,0,1.06,0,0,0,0,0,39.3
 96-106,3.28,1.09,1.09,0,0,1.09,0,1.09,0,0,19.67,0,1.09,0,1.09,1.09,0,3.28,0,0,0,0,1.09,0,0,26.23
108-118,2.3,2.3,0.77,0.77,1.53,0,0,0,0,0,39.83,0,0.77,0.77,2.3,0,0.77,3.83,0,1.53,0,0,0.77,0,0,53.62
120,1.96,1.96,5.88,0,1.96,0,0,0,0,0,19.6,1.96,1.96,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,19.6
