stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,neural,olfactory,periderm,spinal.cord,taste,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,0,0,0,0,0,1.15,0,0,1.15,0,0
 60-70,0,0,0,5.89,0,0,0,0,0,0,0,3.93,0,0,0,0,0.98
 72-82,0,0,0,14.72,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0
 84-94,1.06,0,0,28.68,0,3.19,0,0,1.06,9.56,0,2.12,3.19,0,0,2.12,0
 96-106,0,0,1.09,26.23,1.09,2.19,1.09,0,2.19,3.28,2.19,3.28,2.19,1.09,0,2.19,0
108-118,0,0,0,30.64,0.77,0,0,0.77,0.77,18.38,1.53,1.53,0.77,0,0,1.53,0
120,1.96,0,0,21.56,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0
