stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,25.18,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,743,20,0,0,0,28,0,2,0,0,0,0,0,0,0,4,7,0,6,79,0,1,1,0,0,0,0,7,0,0,21,11,0,0,23,0,0
 24-34,0,0,623.03,8.21,0,19.7,0,132.98,5.75,2.46,0,0,0.82,0,0,0,0,14.78,9.03,0.82,17.24,113.28,0,0.82,0,0,0,4.1,0,0,0,0,4.1,34.48,0,0,43.51,0,0
 36-46,0,0,262.65,0.81,0,51.56,0,128.91,28.2,4.03,0,0,0.81,0,0,0,0,53.17,4.83,1.61,20.95,92.65,0,0,0,0,0,0.81,0.81,0.81,0.81,0,0,28.2,0,0,33.84,0,0
 48-58,0,0,215.75,0.57,0,64.84,0,169.27,51.64,2.87,0.57,0.57,0.57,0,0,0.57,0,163.53,2.87,3.44,24.1,57.95,0,0,0,0,0,0,0,0,0,0,0,10.9,0,0.57,27.54,1.72,0
 60-70,0,0,178.64,0.98,0,41.22,0.98,158.03,60.85,1.96,0,0,0,0,0,0.98,0.98,452.48,1.96,5.89,27.48,39.26,0,0,0.98,0,0.98,1.96,0,0,0,0.98,0,3.93,0,5.89,27.48,5.89,0
 72-82,0.98,0.98,214.98,2.94,0,81.48,0,176.7,99.15,13.74,2.94,0,0,0,0.98,0,0,1034.67,1.96,15.71,57.92,83.44,0.98,0.98,2.94,0,0.98,3.93,0,0,0,0,0,5.89,1.96,15.71,43.19,25.52,1.96
 84-94,0,2.12,452.43,0,0,112.58,1.06,315.43,88.15,10.62,0,2.12,4.25,3.19,0,0,2.12,801.84,5.31,12.74,32.92,49.92,1.06,1.06,1.06,0,0,7.43,0,0,1.06,0,0,1.06,3.19,19.12,32.92,19.12,1.06
 96-106,0,1.09,424.02,0,1.09,87.43,2.19,320.2,86.33,24.04,3.28,1.09,1.09,4.37,0,1.09,2.19,980.28,7.65,7.65,26.23,107.1,0,0,2.19,0,2.19,10.93,0,0,3.28,0,0,2.19,1.09,18.58,34.97,15.3,0
108-118,0.77,3.83,292.6,3.06,1.53,45.19,0,307.15,66.64,9.96,3.83,0,2.3,3.83,0.77,0,1.53,971.24,3.06,8.43,24.51,88.85,0.77,2.3,3.06,0,1.53,6.13,0,0,1.53,0,0,3.06,0.77,5.36,33.7,10.72,1.53
120,0,0,158.74,3.92,1.96,29.4,3.92,186.18,52.91,5.88,3.92,0,0,1.96,1.96,1.96,5.88,719.24,3.92,0,25.48,60.75,1.96,1.96,1.96,0,1.96,3.92,0,0,1.96,0,0,3.92,1.96,3.92,19.6,11.76,0
