stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,1,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0
 24-34,0,0.82,4.1,0,0.82,0.82,0,0,2.46,0.82,0,0,0,0,0,4.1,1.64,0,0,0.82,61.56,0,0,1.64,0,0,0,0,0,0,0,18.88,0,0,2.46,0,0
 36-46,0,0,1.61,0,1.61,0,0,0,10.47,0.81,0,0,0,0,0,0.81,11.28,0,0,0,148.24,0,0.81,0,0,0,0,0,0,0,0,52.37,0,0,0,0,0
 48-58,0,0,2.87,0.57,14.92,0,0.57,0,9.18,4.02,0,0,0,0,0,1.15,22.38,0,1.15,0,123.94,0,1.15,0,0,0,0.57,0,0.57,0,0,28.69,0,0,0.57,0,0
 60-70,0,0.98,1.96,0,61.84,0,0,0,24.54,16.69,0,0,0,1.96,0,1.96,50.06,0,1.96,0.98,254.21,0,0.98,0.98,0,0,0,0,0,0,0,22.58,0,0,0,0.98,0
 72-82,0,1.96,6.87,0,128.6,0,0,0,35.34,86.39,0,0,0,0.98,0,0.98,94.24,0,0.98,3.93,404.44,0,0,0.98,0,0,1.96,0,0.98,0,0,7.85,0,0,0.98,0,0.98
 84-94,0,0,8.5,1.06,73.28,0,1.06,0,22.3,182.67,1.06,2.12,0,0,0,1.06,57.35,0,0,1.06,212.41,0,2.12,3.19,0,1.06,5.31,0,0,0,0,9.56,0,3.19,0,1.06,0
 96-106,0,6.56,13.11,7.65,85.24,1.09,3.28,2.19,21.86,363.92,1.09,0,1.09,2.19,1.09,6.56,67.76,1.09,4.37,1.09,256.82,0,1.09,2.19,0,0,13.11,0,0,0,0,6.56,1.09,1.09,3.28,2.19,1.09
108-118,0,2.3,12.26,4.6,68.94,0.77,4.6,0.77,19.15,445.79,0,0.77,0.77,1.53,0,6.13,68.17,1.53,2.3,1.53,324.77,0,0,2.3,0,0.77,5.36,0,0.77,0,0,4.6,0.77,0,2.3,0,0
120,1.96,3.92,15.68,1.96,60.75,0,9.8,0,23.52,331.2,0,3.92,0,0,0,11.76,37.24,1.96,0,3.92,301.81,0,0,3.92,0,0,3.92,0,0,0,0,3.92,0,0,1.96,0,1.96
