stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pronephros,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,13.14,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,56.65,0,25.18,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,1.15,0,0.57,0,0,0.57,0,0.57,5.74,0,0,0,2.3
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0,2.94,0,0,0,0
 72-82,0,0,0.98,0,3.93,0,0,0.98,1.96,0,0.98,5.89,1.96,1.96,6.87,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
