stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,18.39,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,9,0,0,4,10,0,0,0,0
 24-34,0,0,1.64,0,0,2.46,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,1.64,0.82,0,0,59.92,0,0,0.82,0,32.83,0,0,0,9.85,0,0,0,0
 36-46,0,0,0,1.61,0,4.83,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0.81,0.81,0,0,124.07,0,3.22,0,0,29,0,0,0,20.95,0,0,0,0
 48-58,0,0,0,1.15,0,10.33,0,0,2.3,0,1.15,0,0,0,0,0,0,0.57,1.15,1.15,0,0,162.39,0,2.3,0.57,0,17.21,0,0,0,19.51,0,0,0,0
 60-70,0,0,0,5.89,0,87.36,0,0,8.83,0.98,0,0,0,0,0,0,0,0,6.87,1.96,0.98,0,381.81,0,2.94,2.94,0,20.61,0,0,0,73.61,0,0,0,0.98
 72-82,0,0,1.96,7.85,1.96,212.04,0.98,0,11.78,0.98,0,0,0,0.98,0.98,0,0.98,0,16.69,1.96,0.98,0,429.97,0,3.93,2.94,0,21.6,0,0,0,58.9,4.91,0,0.98,0.98
 84-94,0,0,1.06,8.5,0,155.06,3.19,1.06,12.74,3.19,2.12,0,1.06,1.06,1.06,2.12,0,4.25,8.5,2.12,1.06,1.06,251.7,0,1.06,8.5,0,63.72,0,1.06,0,33.99,4.25,2.12,0,1.06
 96-106,0,0,1.09,16.39,2.19,180.32,3.28,0,14.21,6.56,0,0,0,2.19,2.19,0,1.09,1.09,5.46,2.19,0,0,197.81,0,0,8.74,0,84.15,0,0,0,18.58,4.37,1.09,0,2.19
108-118,0,0,1.53,14.55,0.77,119.49,1.53,0,9.96,9.96,0,0,0.77,1.53,0.77,0.77,0,0.77,3.83,1.53,0,0.77,206.04,0.77,1.53,11.49,0,35.23,0,0,0,12.26,12.26,1.53,0.77,0
120,0,0,1.96,15.68,0,68.59,0,0,5.88,1.96,0,1.96,1.96,1.96,1.96,1.96,0,0,13.72,3.92,0,0,227.34,0,1.96,5.88,0,41.16,0,0,0,7.84,7.84,3.92,0,0
