stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,4,0,1,1,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,204.39,0.82,0,1.64,16.42,0.82,0.82,0,0,0,0,0.82,0,0.82,0,0.82,1.64,1.64,1.64,23.8,0,0,2.46,0,0,2.46,0.82,0.82,3.28,0,0,0,0,0
 36-46,0,0,0,269.09,0,0,8.06,65.26,0,1.61,0,0,0,0,0.81,0,3.22,0,8.06,3.22,12.09,2.42,35.45,1.61,1.61,0.81,0,0,1.61,0,0.81,4.83,0,0,0,0,0
 48-58,0,0,0,273.13,0.57,0,10.9,91.23,0.57,3.44,0,0,0,0,0,0,2.87,0,12.05,1.72,18.36,2.87,30.99,0,0.57,0,0,0.57,1.15,0,0,2.87,0,0.57,0,0,1.15
 60-70,0,0,0,248.33,0,0,43.19,87.36,0.98,8.83,0,0,0,0,0,0,2.94,0,28.46,2.94,32.39,15.7,33.37,0,0,1.96,0,2.94,0,0.98,0,5.89,0,8.83,0,1.96,0
 72-82,0,0,0,256.21,0.98,0,61.84,100.13,2.94,14.72,0,0,0.98,0,0.98,0.98,5.89,0,58.9,2.94,33.38,18.65,29.45,0,0.98,3.93,0,0.98,1.96,0,0.98,4.91,0,10.8,0,9.82,0.98
 84-94,0,0,0,419.5,1.06,0,49.92,167.8,0,11.68,0,0,0,0,1.06,0,1.06,0,45.67,1.06,40.36,15.93,19.12,0,0,0,0,3.19,2.12,0,0,3.19,1.06,6.37,0,5.31,0
 96-106,0,0,1.09,431.67,2.19,1.09,51.36,168.3,4.37,24.04,0,0,1.09,2.19,2.19,0,4.37,2.19,55.74,8.74,27.32,14.21,31.69,0,1.09,5.46,0,0,3.28,0,0,4.37,0,2.19,0,5.46,0
108-118,0,0,0,487.15,0.77,0,56.68,220.6,0,16.09,1.53,0,0.77,0,1.53,0,3.06,2.3,53.62,2.3,28.34,8.43,22.98,0,0.77,10.72,0,1.53,2.3,0,0,3.83,0,1.53,0.77,0.77,0
120,0,0,0,393.92,0,0,62.71,154.82,0,21.56,1.96,0,0,0,1.96,0,1.96,0,78.39,5.88,37.24,9.8,37.24,0,1.96,1.96,0,0,1.96,0,0,7.84,0,3.92,0,1.96,0
