stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,2.63,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0.81,2.42,0,0.81,0,0,8.86,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,4.59,0,0,0,0,0,0,0
 60-70,0,0.98,0,2.94,0.98,0,0.98,0,0,3.93,0.98,0,0,0,2.94,0,0
 72-82,0.98,0,0.98,1.96,2.94,0,0.98,0,0.98,3.93,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,1.06,0,3.19,1.06,0,4.25,0,1.06,0,2.12,0,1.06,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,2.19,0,0,0,0,0,0,1.09
108-118,0,0,0.77,1.53,2.3,0,3.83,0,1.53,3.83,0,0,0,0.77,0.77,0,0
120,0,0,0,3.92,0,1.96,0,0,0,3.92,0,0,0,1.96,0,0,0
