stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,31.47,0,0,0,3.15,0,31.47,0,0,0
 14-21,0,1,2,47,8,11,0,0,0,16,0,0,3,0,1,0,4,1,0,22,0,0,26,225,6,2,1,6,5,1,35,2,531,1164,88,1,0
 24-34,0,0.82,3.28,63.21,1.64,70.59,199.47,2.46,2.46,14.78,0.82,0.82,2.46,1.64,9.85,2.46,20.52,5.75,1.64,68.95,1.64,1.64,96.86,818.39,9.85,6.57,9.03,0.82,37.76,0.82,1.64,1.64,284.84,629.6,147.75,28.73,5.75
 36-46,0,0,0,22.56,0,32.23,182.89,1.61,0.81,5.64,0,0,0,0.81,1.61,0,2.42,1.61,0,33.03,0.81,0,38.67,243.31,1.61,2.42,1.61,0.81,16.92,0,1.61,0,227.2,37.06,45.92,4.03,0
 48-58,0,0,0,2.3,0.57,30.41,55.66,0,1.72,9.18,0,0,0.57,0,0.57,0,0,0,2.3,24.1,0,0,40.74,72.3,0.57,0.57,0.57,0.57,4.02,0,0,0.57,154.93,0,22.38,0,2.3
 60-70,0,0,0,0.98,0,28.46,71.65,0.98,1.96,1.96,0,0.98,0,0,0,0,0,0,0,11.78,1.96,0,46.13,48.09,0,0.98,0,0.98,0.98,0,0,0,96.19,0,4.91,0,0
 72-82,0,0,0,3.93,1.96,22.58,65.77,0,2.94,8.83,0.98,0,0,0,0,0,0,0,0,18.65,0,0.98,34.36,40.25,0,0,0,0.98,0,0,0,0,39.27,0,4.91,1.96,1.96
 84-94,0,0,0,1.06,1.06,13.81,75.4,0,1.06,2.12,2.12,0,0,0,0,1.06,0,1.06,1.06,9.56,0,1.06,28.68,27.61,1.06,0,0,0,1.06,0,0,0,49.92,0,3.19,0,0
 96-106,0,0,0,3.28,2.19,12.02,63.39,1.09,0,1.09,0,0,0,2.19,1.09,0,0,0,0,12.02,0,0,19.67,12.02,0,0,1.09,1.09,1.09,0,0,0,45.9,0,1.09,1.09,0
108-118,0,0,0,1.53,0.77,2.3,53.62,0,0,1.53,0,0,0,0,0,0,0,0,0,4.6,0,0,17.62,12.26,0,0,0,0,2.3,0,0,0,29.87,0,0,1.53,0
120,0,0,0,0,0,1.96,35.28,0,0,1.96,0,0,0,1.96,0,0,0,0,0,7.84,0,0,13.72,5.88,0,1.96,0,0,0,0,1.96,0,9.8,0,0,0,1.96
