stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,28.92,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,18.88,0,18.88,0,0,0,22.03,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,324.14,3.15,0,0,88.12,0,0,3.15,0,9.44,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,0,25,38,0,15,0,0,0,9,0,87,0,0,1,0,2,0,0,13,0,0,5,282,4,0,4,4,0,0,1,29,0,7,208,0,0,16,0,0
 24-34,0,0,0,0,13.95,8.21,0,43.51,0,0,1.64,19.7,0,50.89,4.1,0,0,0.82,10.67,0,0,47.61,0.82,0.82,14.78,769.14,2.46,1.64,4.93,0,0,3.28,0,0,0.82,0.82,379.24,0,0,91.12,0,1.64
 36-46,0,0,0,0,4.83,0,0,135.35,0,0,4.83,37.06,1.61,11.28,0,0,0.81,2.42,8.86,0,0,74.93,0,1.61,16.92,1818.4,1.61,0.81,7.25,0,0,2.42,0.81,0,1.61,0,551.88,0,0.81,70.09,0.81,7.25
 48-58,0,0,0,0,9.18,0,0,410.27,0,0.57,5.16,55.66,0,1.15,1.72,0,1.15,7.46,8.61,0.57,0,95.25,0.57,1.72,12.62,2440.97,0.57,1.15,5.74,0,0,1.72,0,0,0.57,0,558.89,0,1.72,50.49,0,7.46
 60-70,0.98,0,0,0,7.85,0.98,0,1149.36,0.98,0.98,9.82,116.8,0,0,0.98,0,0,21.59,8.83,0,0,129.56,0,0.98,15.7,3830.88,1.96,0,12.76,0,5.89,3.93,0,0,0.98,0,524.13,0,3.93,33.37,2.94,7.85
 72-82,0,0,0.98,1.96,24.54,14.72,0,1663.92,1.96,1.96,10.8,171.79,1.96,0.98,0,3.93,0.98,20.61,12.76,1.96,0.98,190.44,0,7.85,20.61,2881.18,0,2.94,24.54,0,5.89,1.96,0,0,0.98,0,312.17,1.96,6.87,78.53,11.78,15.71
 84-94,0,0,0,0,38.23,5.31,0,951.59,1.06,3.19,10.62,140.19,3.19,0,1.06,2.12,1.06,10.62,18.05,1.06,1.06,135.94,1.06,7.43,4.25,1578.19,1.06,2.12,41.42,0,7.43,10.62,0,0,1.06,0,174.17,0,7.43,74.34,7.43,9.56
 96-106,0,0,0,0,29.51,5.46,1.09,854.61,1.09,4.37,8.74,137.7,4.37,0,6.56,5.46,2.19,7.65,18.58,1.09,0,113.66,1.09,6.56,4.37,1214.15,2.19,3.28,45.9,0,17.49,6.56,0,0,1.09,0,76.5,1.09,9.84,79.78,7.65,10.93
108-118,0,0,0,0,21.45,6.13,0.77,595.92,2.3,0.77,5.36,105.7,2.3,0,2.3,2.3,2.3,9.19,16.09,0.77,0,100.34,0,5.36,8.43,1474.48,0,0.77,26.81,0,8.43,7.66,0,0,0.77,0,57.45,2.3,9.96,45.96,0.77,9.96
120,0,0,0,0,23.52,7.84,0,468.39,3.92,0,5.88,101.91,1.96,0,1.96,3.92,0,11.76,11.76,1.96,0,64.67,0,7.84,9.8,1350.29,0,3.92,11.76,0,0,5.88,0,0,1.96,0,48.99,0,9.8,47.03,1.96,1.96
