stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,28.92,28.92,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,349.31,3.15,0,0,34.62,6.29,0,9.44,0,0,0,0,0,0
 14-21,0,1,1019,1,0,1,0,1,0,0,3,1,0,0,9,0,0,0,0,3,4,0,3,22,1,0,1,1,157,5,3,6,15,0,0,1,0
 24-34,0.82,2.46,286.48,0,0,4.1,0,13.13,0,2.46,0,0,0,0,7.39,0,0.82,0,0,3.28,2.46,0,3.28,41.86,0,2.46,0,0,83.73,0,1.64,0,25.45,0,0,0.82,0
 36-46,0,0.81,97.49,0,0,12.09,0,12.09,2.42,4.03,1.61,0,0.81,1.61,0.81,0,0,0,0,4.03,0.81,0,1.61,36.26,0,0.81,1.61,0,66.87,0,4.03,0,12.09,0,0,1.61,0
 48-58,0,0,58.53,0,0,24.1,0,13.2,0.57,6.31,0,0,0,5.16,0.57,0,1.15,0.57,0,9.18,1.15,0,1.15,39.02,0,1.72,0,0,22.95,0,1.72,0,10.33,0,0,0,0
 60-70,0.98,0,57.91,0,0,67.73,0,17.67,0,8.83,3.93,0.98,0,9.82,0.98,0,4.91,0,0.98,5.89,0.98,0.98,0,51.04,0,0.98,0,0,38.28,0,1.96,0,1.96,0,0,0,0
 72-82,0,0,77.55,0,0,39.27,0,22.58,0.98,3.93,1.96,0,0.98,13.74,7.85,0,1.96,0,0.98,14.72,0.98,0.98,0,48.1,0,1.96,1.96,0,18.65,0,1.96,0,2.94,2.94,0.98,2.94,1.96
 84-94,1.06,0,135.94,1.06,0,24.43,0,30.8,1.06,5.31,35.05,0,0,21.24,3.19,0,1.06,2.12,0,6.37,1.06,1.06,0,19.12,0,6.37,0,0,77.53,0,6.37,0,2.12,0,0,2.12,0
 96-106,1.09,0,172.67,0,0,13.11,1.09,42.62,1.09,6.56,45.9,0,0,29.51,16.39,1.09,2.19,2.19,0,9.84,2.19,1.09,1.09,20.76,0,8.74,3.28,0,39.34,0,5.46,0,1.09,5.46,0,1.09,2.19
108-118,0,0,182.3,0,0.77,6.13,0,56.68,0,4.6,57.45,0,0,30.64,12.26,0.77,2.3,0.77,0,5.36,0,0,2.3,9.19,0,9.96,1.53,0,59.75,0,3.06,0,0,6.13,0,0,0
120,0,0,125.43,0,0,9.8,0,25.48,0,1.96,27.44,0,0,33.32,9.8,1.96,1.96,1.96,0,1.96,3.92,0,0,15.68,0,3.92,0,0,31.36,0,11.76,0,0,1.96,0,0,0
