stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,63.09,0,0,2.63,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,2,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0.82,0,2.46,0,0.82,0,0,3.28,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0.57,0,0,0,0,0,0,0.57,0.57,0,0.57,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,6.87,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,3.19,0,0,0,0,2.12,0,2.12,0,0,0,0,8.5,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,1.09,0,1.09,0,0,3.28,0,1.09,0,0,0,0,1.09,0,0,1.09
108-118,0,0,0,0,0,1.53,0,0,0,1.53,0,0,0.77,3.06,0,4.6,0,0,0,0,7.66,0,0,0.77
120,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
