stage,eye,fast.muscle,glial,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,spinal.cord
  7-9,0,0,0,0,0,0,2.63,0,2.63,0,2.63,0
 10-12,0,0,0,0,0,6.29,0,0,9.44,0,0,0
 14-21,0,0,1,0,0,4,0,0,0,0,0,2
 24-34,0.82,0,0,0.82,0,27.09,0,0,0,0,0,3.28
 36-46,3.22,0,0.81,1.61,0,37.06,0,0,0,0,0,5.64
 48-58,8.03,0.57,3.44,2.3,0.57,37.87,0,0.57,0,0.57,0,9.18
 60-70,7.85,1.96,0,0.98,0.98,12.76,0,0,0,0,0,2.94
 72-82,1.96,0,0,0,0,11.78,0,0.98,0,0,0,0
 84-94,2.12,0,0,0,1.06,4.25,0,0,0,0,0,0
 96-106,0,1.09,0,0,1.09,2.19,0,0,0,0,0,0
108-118,1.53,0.77,0,1.53,0,3.83,0,0,0,0,0,0
120,1.96,0,0,0,1.96,1.96,0,0,0,0,0,0
